Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,24.5771,0.557971,-0.53294,-0.813616,-0.829713,-0.793821,-0.87721,-0.839455,-0.864405,-0.728704,-0.825304,-0.811746,-0.776216,-0.750427,-0.729561,-0.747696,-0.751303,-0.786717,-0.775385,-0.786717,-0.751303,-0.747696,-0.729561,-0.750427,-0.776216,-0.811746,-0.825304,-0.728704,-0.864405,-0.839455,-0.87721,-0.793821,-0.829713,-0.813616,-0.53294,0.557971,
1,24.4514,0.495527,-0.714163,-0.737123,-0.629565,-0.68814,-0.774631,-0.665781,-0.743399,-0.771957,-0.779628,-0.949346,-0.792939,-0.81667,-0.794276,-0.802132,-0.865718,-0.863854,-0.663836,-0.863854,-0.865718,-0.802132,-0.794276,-0.81667,-0.792939,-0.949346,-0.779628,-0.771957,-0.743399,-0.665781,-0.774631,-0.68814,-0.629565,-0.737123,-0.714163,0.495527,
2,24.5888,0.586932,-0.543156,-0.763464,-0.738206,-0.822411,-0.789599,-0.847865,-0.867968,-0.787014,-0.779164,-0.879248,-0.822851,-0.811017,-0.837878,-0.763666,-0.767434,-0.71734,-0.686143,-0.71734,-0.767434,-0.763666,-0.837878,-0.811017,-0.822851,-0.879248,-0.779164,-0.787014,-0.867968,-0.847865,-0.789599,-0.822411,-0.738206,-0.763464,-0.543156,0.586932,
3,24.5959,0.488739,-0.55724,-0.737346,-0.700024,-0.732489,-0.86616,-0.783702,-0.813013,-0.814305,-0.750745,-0.872393,-0.704762,-0.781574,-0.881561,-0.813854,-0.831405,-0.782444,-0.727341,-0.782444,-0.831405,-0.813854,-0.881561,-0.781574,-0.704762,-0.872393,-0.750745,-0.814305,-0.813013,-0.783702,-0.86616,-0.732489,-0.700024,-0.737346,-0.55724,0.488739,
4,24.6715,0.516363,-0.605584,-0.847422,-0.805503,-0.800294,-0.738045,-0.758416,-0.73587,-0.725293,-0.778103,-0.88689,-0.805308,-0.890729,-0.751271,-0.779182,-0.761267,-0.7941,-0.777667,-0.7941,-0.761267,-0.779182,-0.751271,-0.890729,-0.805308,-0.88689,-0.778103,-0.725293,-0.73587,-0.758416,-0.738045,-0.800294,-0.805503,-0.847422,-0.605584,0.516363,
5,24.6017,0.468383,-0.725904,-0.737799,-0.851324,-0.746506,-0.700387,-0.875396,-0.818287,-0.767224,-0.742435,-0.782462,-0.69686,-0.708297,-0.777858,-0.766214,-0.83315,-0.847958,-0.782363,-0.847958,-0.83315,-0.766214,-0.777858,-0.708297,-0.69686,-0.782462,-0.742435,-0.767224,-0.818287,-0.875396,-0.700387,-0.746506,-0.851324,-0.737799,-0.725904,0.468383,
6,24.6385,0.553178,-0.580227,-0.704151,-0.718109,-0.766338,-0.815912,-0.861521,-0.761609,-0.817592,-0.777708,-0.761123,-0.835361,-0.830046,-0.818981,-0.750247,-0.797289,-0.876769,-0.798873,-0.876769,-0.797289,-0.750247,-0.818981,-0.830046,-0.835361,-0.761123,-0.777708,-0.817592,-0.761609,-0.861521,-0.815912,-0.766338,-0.718109,-0.704151,-0.580227,0.553178,
7,24.6543,0.499767,-0.609834,-0.771747,-0.720339,-0.79425,-0.78561,-0.704272,-0.675938,-0.72263,-0.856933,-0.790982,-0.830145,-0.904276,-0.833341,-0.890074,-0.788863,-0.77177,-0.751791,-0.77177,-0.788863,-0.890074,-0.833341,-0.904276,-0.830145,-0.790982,-0.856933,-0.72263,-0.675938,-0.704272,-0.78561,-0.79425,-0.720339,-0.771747,-0.609834,0.499767,
8,24.6402,0.537614,-0.667539,-0.69937,-0.749189,-0.755988,-0.787154,-0.787339,-0.757748,-0.754088,-0.72187,-0.807882,-0.882468,-0.841404,-0.852051,-0.762739,-0.830175,-0.818311,-0.764835,-0.818311,-0.830175,-0.762739,-0.852051,-0.841404,-0.882468,-0.807882,-0.72187,-0.754088,-0.757748,-0.787339,-0.787154,-0.755988,-0.749189,-0.69937,-0.667539,0.537614,
9,24.6432,0.503453,-0.665543,-0.753077,-0.770591,-0.763251,-0.746144,-0.731236,-0.821408,-0.684514,-0.738678,-0.793981,-0.762226,-0.828572,-0.839731,-0.806502,-0.77771,-0.90234,-0.879068,-0.90234,-0.77771,-0.806502,-0.839731,-0.828572,-0.762226,-0.793981,-0.738678,-0.684514,-0.821408,-0.731236,-0.746144,-0.763251,-0.770591,-0.753077,-0.665543,0.503453,
10,24.7067,0.510899,-0.632701,-0.714372,-0.690721,-0.721441,-0.823864,-0.83059,-0.917305,-0.826857,-0.899561,-0.766627,-0.782212,-0.715805,-0.772568,-0.799454,-0.836335,-0.709578,-0.84855,-0.709578,-0.836335,-0.799454,-0.772568,-0.715805,-0.782212,-0.766627,-0.899561,-0.826857,-0.917305,-0.83059,-0.823864,-0.721441,-0.690721,-0.714372,-0.632701,0.510899,
11,24.7012,0.592075,-0.638369,-0.784925,-0.72296,-0.832555,-0.774966,-0.807457,-0.852145,-0.756618,-0.794142,-0.764407,-0.716337,-0.794372,-0.700892,-0.895737,-0.852581,-0.840196,-0.828002,-0.840196,-0.852581,-0.895737,-0.700892,-0.794372,-0.716337,-0.764407,-0.794142,-0.756618,-0.852145,-0.807457,-0.774966,-0.832555,-0.72296,-0.784925,-0.638369,0.592075,
