Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
12,24.3942,2.11617,0.731204,0.335825,0.155412,0.0591991,-0.0192505,-0.00708943,-0.000567767,-0.0737217,-0.0189659,0.0371278,0.0483896,0.0302854,0.0126878,-0.0730783,-0.044189,0.0260718,0.0180409,0.0260718,-0.044189,-0.0730783,0.0126878,0.0302854,0.0483896,0.0371278,-0.0189659,-0.0737217,-0.000567767,-0.00708943,-0.0192505,0.0591991,0.155412,0.335825,0.731204,2.11617,
13,24.4666,2.05749,0.731281,0.371597,0.205712,0.0839273,0.0171139,0.0639733,-0.0357548,-0.0258037,0.0163344,0.0252525,0.0167617,0.0119266,0.0126422,0.0157228,-0.0190686,0.0235618,-0.044104,0.0235618,-0.0190686,0.0157228,0.0126422,0.0119266,0.0167617,0.0252525,0.0163344,-0.0258037,-0.0357548,0.0639733,0.0171139,0.0839273,0.205712,0.371597,0.731281,2.05749,
14,24.3718,2.01677,0.711745,0.311662,0.118071,0.0603585,0.0886795,0.0342954,0.033457,0.0155454,0.00327063,-0.0469579,-0.0639506,-0.0690581,0.0184402,0.0298757,0.0311422,-0.028547,-0.0858209,-0.028547,0.0311422,0.0298757,0.0184402,-0.0690581,-0.0639506,-0.0469579,0.00327063,0.0155454,0.033457,0.0342954,0.0886795,0.0603585,0.118071,0.311662,0.711745,2.01677,
15,24.3473,2.06349,0.672974,0.246294,0.0498185,0.0291143,0.0638524,0.0678457,0.0134147,0.0378485,0.019482,-0.00247083,-0.0110525,-0.0745634,-0.00551326,0.0152084,-0.0651343,-0.026024,-0.00208801,-0.026024,-0.0651343,0.0152084,-0.00551326,-0.0745634,-0.0110525,-0.00247083,0.019482,0.0378485,0.0134147,0.0678457,0.0638524,0.0291143,0.0498185,0.246294,0.672974,2.06349,
16,24.2388,1.97915,0.621027,0.261899,0.178842,0.137084,0.0587441,0.00522036,0.0061429,-0.0440461,0.0323012,-0.0661413,-0.0212293,0.0130872,-0.105516,0.0279659,-0.00845458,0.0170746,-0.0192558,0.0170746,-0.00845458,0.0279659,-0.105516,0.0130872,-0.0212293,-0.0661413,0.0323012,-0.0440461,0.0061429,0.00522036,0.0587441,0.137084,0.178842,0.261899,0.621027,1.97915,
17,24.4794,2.09103,0.782521,0.341148,0.211857,0.0831615,0.070641,0.0158055,-0.0448748,-0.0402109,-0.0335441,-0.0639772,-0.0794556,-0.0803941,-0.0306681,0.0067607,0.0398182,-0.0220496,0.0815656,-0.0220496,0.0398182,0.0067607,-0.0306681,-0.0803941,-0.0794556,-0.0639772,-0.0335441,-0.0402109,-0.0448748,0.0158055,0.070641,0.0831615,0.211857,0.341148,0.782521,2.09103,
18,24.4453,2.08296,0.681222,0.290454,0.178518,0.149239,0.065361,-0.00767085,0.0112245,0.0177376,0.0152913,0.0302919,0.0015038,0.0420942,0.0415546,0.0760415,0.0539673,0.104298,0.109484,0.104298,0.0539673,0.0760415,0.0415546,0.0420942,0.0015038,0.0302919,0.0152913,0.0177376,0.0112245,-0.00767085,0.065361,0.149239,0.178518,0.290454,0.681222,2.08296,
19,24.5149,2.12898,0.739012,0.335227,0.191704,0.0807928,0.060801,-0.0280514,0.0524152,-0.0677409,0.0414402,0.0175035,-0.00613137,0.00594572,-0.0360581,-0.0356191,0.00609035,0.0304116,0.0273361,0.0304116,0.00609035,-0.0356191,-0.0360581,0.00594572,-0.00613137,0.0175035,0.0414402,-0.0677409,0.0524152,-0.0280514,0.060801,0.0807928,0.191704,0.335227,0.739012,2.12898,
20,24.3729,2.14231,0.753665,0.429257,0.241937,0.187082,0.103932,0.00902605,-0.033568,-0.0359487,-0.0213063,-0.102354,-0.0896769,-0.0589383,0.000827338,0.0172592,0.0582176,0.0528125,0.0224262,0.0528125,0.0582176,0.0172592,0.000827338,-0.0589383,-0.0896769,-0.102354,-0.0213063,-0.0359487,-0.033568,0.00902605,0.103932,0.187082,0.241937,0.429257,0.753665,2.14231,
21,24.358,2.05192,0.704033,0.333469,0.152444,0.0722965,0.0956342,0.0693592,0.0438329,0.058596,0.0289636,-0.00971539,0.0345572,0.026576,0.0252355,0.0156893,-0.0022901,-0.0193772,-0.0203289,-0.0193772,-0.0022901,0.0156893,0.0252355,0.026576,0.0345572,-0.00971539,0.0289636,0.058596,0.0438329,0.0693592,0.0956342,0.0722965,0.152444,0.333469,0.704033,2.05192,
22,24.4043,2.12477,0.782819,0.345963,0.172812,0.0467198,0.0134261,-0.014624,-0.0275936,-0.0128342,0.0350282,-0.0454018,-0.021709,0.00422395,-0.0516365,0.00485164,0.0135627,0.0749925,0.00724645,0.0749925,0.0135627,0.00485164,-0.0516365,0.00422395,-0.021709,-0.0454018,0.0350282,-0.0128342,-0.0275936,-0.014624,0.0134261,0.0467198,0.172812,0.345963,0.782819,2.12477,
23,24.5028,2.12662,0.726573,0.362986,0.172508,0.146852,0.113043,0.0551603,0.0566022,0.0868499,0.0393289,-0.0267801,0.0451027,0.0315718,0.0172902,0.0658876,0.0635532,0.0813121,0.0214458,0.0813121,0.0635532,0.0658876,0.0172902,0.0315718,0.0451027,-0.0267801,0.0393289,0.0868499,0.0566022,0.0551603,0.113043,0.146852,0.172508,0.362986,0.726573,2.12662,
24,24.4562,2.01021,0.705465,0.300107,0.170775,0.0482769,0.0909868,-0.0706707,-0.0146939,-0.0213965,0.0781847,0.0589365,0.103895,0.0740561,0.0409,0.0590479,-0.0145867,-0.00706617,-0.025446,-0.00706617,-0.0145867,0.0590479,0.0409,0.0740561,0.103895,0.0589365,0.0781847,-0.0213965,-0.0146939,-0.0706707,0.0909868,0.0482769,0.170775,0.300107,0.705465,2.01021,
