Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,35.994,1.4203,-0.814305,-1.14745,-1.26255,-1.20432,-1.14869,-1.16664,-1.33639,-1.40511,-1.19618,-1.2034,-1.04428,-1.23361,-1.15918,-1.23923,-1.27724,-0.995065,-1.16737,-0.995065,-1.27724,-1.23923,-1.15918,-1.23361,-1.04428,-1.2034,-1.19618,-1.40511,-1.33639,-1.16664,-1.14869,-1.20432,-1.26255,-1.14745,-0.814305,1.4203,
1,35.8892,1.2268,-1.05662,-1.27771,-1.23408,-1.12309,-1.13687,-1.05897,-1.03081,-1.19205,-1.15438,-1.10481,-1.32343,-1.26467,-1.20805,-1.0998,-1.18769,-1.03852,-1.35977,-1.03852,-1.18769,-1.0998,-1.20805,-1.26467,-1.32343,-1.10481,-1.15438,-1.19205,-1.03081,-1.05897,-1.13687,-1.12309,-1.23408,-1.27771,-1.05662,1.2268,
2,35.9769,1.54724,-0.827045,-1.02039,-1.17446,-1.10843,-1.18921,-1.2357,-1.22227,-1.21612,-1.25625,-1.16043,-1.32332,-1.3115,-1.30618,-1.1457,-1.15227,-1.2722,-1.2284,-1.2722,-1.15227,-1.1457,-1.30618,-1.3115,-1.32332,-1.16043,-1.25625,-1.21612,-1.22227,-1.2357,-1.18921,-1.10843,-1.17446,-1.02039,-0.827045,1.54724,
3,35.9729,1.43888,-0.779909,-1.0563,-1.17632,-1.15878,-1.04638,-1.18288,-1.37808,-1.22384,-1.18911,-1.12307,-1.18076,-1.33174,-1.26294,-1.23066,-1.26122,-1.25774,-1.17127,-1.25774,-1.26122,-1.23066,-1.26294,-1.33174,-1.18076,-1.12307,-1.18911,-1.22384,-1.37808,-1.18288,-1.04638,-1.15878,-1.17632,-1.0563,-0.779909,1.43888,
4,35.6909,1.16682,-0.808452,-1.11951,-1.05469,-1.16599,-1.20778,-1.218,-1.17919,-1.22773,-1.19342,-1.26061,-1.15612,-1.21548,-1.22584,-1.12714,-1.08453,-1.12905,-1.27749,-1.12905,-1.08453,-1.12714,-1.22584,-1.21548,-1.15612,-1.26061,-1.19342,-1.22773,-1.17919,-1.218,-1.20778,-1.16599,-1.05469,-1.11951,-0.808452,1.16682,
5,35.8791,1.44483,-0.746613,-1.1512,-1.08056,-1.00683,-1.18208,-1.17462,-1.19146,-1.28919,-1.26284,-1.22376,-1.29209,-1.12843,-1.17161,-1.21719,-1.26802,-1.29537,-1.40507,-1.29537,-1.26802,-1.21719,-1.17161,-1.12843,-1.29209,-1.22376,-1.26284,-1.28919,-1.19146,-1.17462,-1.18208,-1.00683,-1.08056,-1.1512,-0.746613,1.44483,
6,36.0878,1.42166,-0.620443,-0.859245,-1.20299,-1.35774,-1.17753,-1.20795,-1.1652,-1.2227,-1.17037,-1.26913,-1.25933,-1.26927,-1.31642,-1.26424,-1.17501,-1.22498,-1.406,-1.22498,-1.17501,-1.26424,-1.31642,-1.26927,-1.25933,-1.26913,-1.17037,-1.2227,-1.1652,-1.20795,-1.17753,-1.35774,-1.20299,-0.859245,-0.620443,1.42166,
7,36.013,1.3302,-0.803389,-1.11838,-1.16737,-1.16198,-1.09429,-1.20149,-1.18946,-1.22529,-1.31843,-1.36386,-1.21831,-1.27335,-1.18541,-1.14566,-1.19061,-1.17116,-1.01653,-1.17116,-1.19061,-1.14566,-1.18541,-1.27335,-1.21831,-1.36386,-1.31843,-1.22529,-1.18946,-1.20149,-1.09429,-1.16198,-1.16737,-1.11838,-0.803389,1.3302,
8,35.8582,1.44907,-0.932378,-1.31342,-1.30396,-1.20981,-1.18596,-1.10851,-1.08539,-1.04228,-1.17315,-1.06286,-1.21515,-1.2543,-1.04372,-1.0784,-1.28729,-1.32966,-1.50385,-1.32966,-1.28729,-1.0784,-1.04372,-1.2543,-1.21515,-1.06286,-1.17315,-1.04228,-1.08539,-1.10851,-1.18596,-1.20981,-1.30396,-1.31342,-0.932378,1.44907,
9,35.8167,1.27913,-0.791474,-1.16981,-1.22488,-1.08297,-1.02016,-1.25473,-1.27151,-1.15968,-1.25005,-1.43891,-1.23001,-1.18847,-1.12119,-1.11109,-1.10617,-1.14594,-1.24089,-1.14594,-1.10617,-1.11109,-1.12119,-1.18847,-1.23001,-1.43891,-1.25005,-1.15968,-1.27151,-1.25473,-1.02016,-1.08297,-1.22488,-1.16981,-0.791474,1.27913,
