Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,13.0165,4.01281,0.0976049,1.9396,7.93476,6.64907,4.42882,2.00883,2.49025,-0.606209,-3.46124,-0.282444,0.259642,0.761369,0.642173,-0.331176,4.14963,5.98611,2.83032,2.59141,1.2897,0.134066,0.148577,0.587473,-0.214103,0.824982,0.0283688,-1.83887,2.63331,3.13798,4.76963,6.74115,5.17448,2.62658,1.66038,3.90921,
1,9.88182,0.549624,2.52805,1.98239,2.19905,-0.779899,-0.254782,-0.410621,-2.9218,-4.28489,-5.43496,-5.17997,2.15643,1.39679,1.51966,-0.319439,0.332233,-1.64088,-2.15654,-0.764005,1.18539,0.174945,0.211405,-0.350692,0.137896,0.757799,2.48749,5.76902,6.19389,7.02004,8.92375,8.38518,8.7766,7.39157,5.45128,5.97661,
2,42.0535,44.333,44.8556,41.1829,35.155,16.0998,4.28224,1.54264,-5.47579,-7.20404,10.2471,-2.13432,-19.7782,-14.2669,-4.9702,0.791375,-3.44869,-9.51466,-9.88335,7.05867,6.07307,-0.351944,-2.84885,-0.374837,-0.0807094,1.92977,-0.11406,11.2968,19.6899,30.5462,45.6238,43.1447,38.9028,39.9317,30.718,30.1126,
3,40.5628,31.4788,29.209,28.222,27.9301,29.3379,26.6279,14.502,1.72198,-1.91361,-7.68415,-6.48748,-13.5928,-8.7906,-2.58756,4.6641,4.45202,1.23678,-5.59574,-1.68835,4.76165,-0.800617,-1.41529,-1.79659,4.67063,4.85019,2.017,3.74606,-8.76201,-16.2924,-20.2567,-5.82917,6.42882,14.4092,21.1001,32.7062,
4,23.6478,14.9376,13.926,10.8071,-7.0951,-4.40191,2.10265,4.55662,6.06533,2.58197,-3.97036,-2.43413,-0.691685,4.18604,-0.0806952,0.326545,-0.726288,-1.47442,-0.0207196,-0.549443,-0.931094,2.87,0.0290006,-0.840953,-0.467688,-2.17962,-7.34808,-6.68823,-7.43912,2.3544,10.4748,12.4187,5.45141,7.61418,8.59379,11.7131,
5,32.6606,21.0607,15.1156,11.024,8.90843,13.4198,9.71005,19.2123,17.6673,16.2723,11.7692,4.42199,0.582438,0.579149,-0.308022,-1.64236,-0.712295,0.463722,-0.338519,2.14971,6.57691,3.58484,7.50154,-1.1768,-13.037,-11.3256,-16.3976,-16.4909,-21.4707,-10.5347,-5.00247,-2.40261,-6.43007,-5.52252,5.09404,19.155,
6,32.7693,10.8817,0.396778,0.13197,1.90486,0.911489,0.383742,-1.18659,0.38514,1.71132,10.1039,9.25749,0.928616,-3.35537,7.60757,8.97512,0.0374941,-8.19539,-0.71944,0.855137,-1.97214,0.836063,-1.87436,-3.84406,-0.282686,-3.67462,-7.33908,-10.8017,-12.4914,-4.32197,9.50421,12.9505,11.7182,12.3253,12.1394,19.6735,
7,20.7671,10.4792,4.41804,0.549039,-0.148323,-0.64191,0.684598,0.619508,0.0957794,0.685201,0.0097735,0.959463,-5.66354,-13.7971,-10.6125,-6.88365,-2.35493,-2.98787,1.1185,-2.2926,-4.64337,-0.845057,1.6424,0.51737,-2.21376,-6.15968,-9.13141,-11.2373,-10.0181,1.82995,8.89856,16.2768,16.2205,15.1292,5.92074,8.5383,
8,13.1477,4.88141,2.29841,-2.84234,-2.07825,0.792649,-0.415314,-0.125064,0.825865,0.00740928,-0.318643,-0.478704,0.096041,-3.50703,-4.04239,-0.930685,-0.738232,-0.474185,-0.266438,1.11736,-0.20637,0.246541,-0.529102,-0.534824,-1.12409,-0.199412,0.153889,2.46457,2.23857,-0.996167,3.4924,6.31904,2.86576,1.60484,0.45575,3.82838,
9,24.9296,16.181,2.05454,-0.20491,-1.10649,0.0165614,-2.59297,-0.864484,5.71744,2.01267,3.75472,12.8397,18.5939,18.8149,18.4915,14.1775,13.1635,8.75627,0.573957,-0.342894,-0.273505,-0.940412,-3.09433,-4.636,-9.85575,-15.5715,-9.8493,-5.22043,-13.2354,-12.0541,-4.6813,-0.165675,8.42215,14.2797,20.6836,20.175,
