Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,25.5679,1.43596,-1.0208,-1.45471,-0.105153,0.158974,0.94838,2.8147,1.68642,-1.9229,-1.67676,0.996646,-0.285521,0.390878,-0.521609,-1.41453,0.700298,0.140466,-0.379061,-1.35082,-1.38752,-0.447105,0.592547,1.36148,-0.628233,-0.936206,-1.50172,-1.89646,-1.03249,-2.81712,-0.648658,0.213939,0.81961,1.4927,1.01888,2.69346,
1,25.3337,2.09148,2.33293,1.08469,0.574694,0.933238,0.0896734,0.439502,-0.100982,0.31783,-1.84344,0.871392,-1.42276,-2.23113,0.293836,1.0707,-0.590795,-1.03871,-1.64397,0.205379,0.202683,0.250958,-2.6762,-0.511922,0.112269,-0.528603,0.403046,-0.498374,-0.234776,0.019272,-1.01922,0.231365,-0.663857,0.350759,-2.60854,1.66812,
2,24.1278,1.90198,2.17664,0.123175,1.08586,-0.526471,-1.21171,0.379263,1.96708,1.28263,1.15222,-1.06746,-0.609883,-1.00836,0.20795,-1.15813,-1.98585,-0.74351,0.46739,-0.248016,-0.892773,-2.47273,-0.24657,-0.379385,0.0367284,-0.129434,-1.46615,-0.938286,0.416835,-1.1214,-1.0434,-1.3405,-0.391895,0.367058,1.35983,2.81154,
3,23.1512,1.29454,-0.321984,-0.0958316,-0.659736,-0.834223,0.537926,0.824463,-1.37019,-0.584233,0.150416,0.863115,-1.3364,-1.02771,0.584259,-0.894649,-0.505843,-2.77913,-0.0574887,-1.76457,-1.23066,0.132479,0.774025,2.1748,-0.165297,0.919056,0.124884,0.400699,1.22791,-0.95109,-0.258338,-0.659452,1.80662,1.30236,0.956138,0.450875,
4,26.1078,2.67829,0.102325,1.03182,1.60954,1.27648,-0.0502183,0.195188,-1.19946,-0.31642,-0.640699,-0.900417,-0.107059,0.657966,-1.24549,-0.796721,0.00307443,-0.293164,0.111933,-0.201038,-0.413612,-1.09737,-0.455243,0.872838,0.895588,-0.22079,-0.187588,1.66942,-0.177785,-1.05985,-0.0333835,0.927339,-1.09579,-1.07251,-1.22976,3.01077,
5,23.9772,2.67843,0.034162,1.3832,-0.23176,-0.544888,-0.0979334,0.885692,1.1005,-0.398419,-0.271505,-1.3215,0.0655887,0.68418,0.466514,-0.498228,0.0631162,0.249064,0.824958,-0.578351,1.24456,1.10577,-0.0951378,0.0716532,-0.619673,0.579627,-1.21687,-0.968291,0.684656,-0.761768,-1.21542,1.03374,-0.293118,-1.199,1.54456,1.14461,
6,23.4718,2.54705,3.73893,1.22173,0.193344,-0.867595,-0.0384015,1.13832,0.747148,0.643131,-0.227282,0.150397,-1.62416,0.113409,0.805689,0.105239,0.14282,0.120159,-1.11567,-0.211271,2.24881,2.58962,0.838519,-0.449515,0.346562,-0.753028,-1.51144,0.647862,0.994112,0.696043,1.80631,0.630304,0.374672,0.788458,0.411403,2.06134,
7,24.8207,2.1825,0.405228,-0.0343694,0.372084,-1.41704,-0.950531,-1.99529,-1.39101,1.5717,1.41459,-0.469946,-0.912544,1.21169,0.730143,-1.09923,0.652057,1.39759,0.472324,1.54815,-0.486953,-1.08449,1.99219,2.19938,1.05902,0.556732,0.694497,-0.727092,-0.0782409,-0.97763,0.557173,0.037109,1.00107,1.11498,-0.469801,2.27216,
8,22.1662,1.35937,-0.543628,1.43956,-0.344439,-0.461434,-0.118911,0.211331,-0.444798,-0.288061,-1.91065,0.353807,-0.559663,-1.42325,-0.396392,-0.821382,1.5401,1.93045,-0.336096,-1.55352,0.261836,0.955724,-2.33352,-1.13395,-0.94136,-0.422473,-0.174435,-0.136376,-2.32002,-1.01599,-1.17316,-0.695494,1.14847,0.255765,0.0674062,0.0978394,
9,25.7718,1.53734,-0.377532,0.928293,1.26153,0.893358,-0.490498,-1.04575,2.11739,1.38377,-1.93203,-0.584352,-1.52501,1.16878,0.507489,0.373707,0.544144,1.62872,-1.65457,-0.190199,1.97029,0.757574,0.767242,-1.08606,-0.17032,0.128785,0.559753,1.44204,0.459674,-1.42029,1.60437,-1.01911,0.508144,1.08474,-0.519876,2.72998,
