Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,4.64674,0.324931,0.642193,1.57476,1.32821,0.0180223,0.116374,0.765722,1.18468,-0.650316,-0.820835,-0.539889,-1.06683,-1.43931,-0.939992,-0.6241,-0.181349,0.618615,1.12046,-0.0996454,-0.0765393,0.77462,0.384639,0.429794,0.494888,0.731099,0.810035,0.115316,-0.35804,-0.559515,0.169952,0.12607,-0.0797841,-0.0449916,-0.129194,0.512513,
1,11.4936,4.13234,2.46217,1.04658,-1.14037,2.89211,2.48918,4.65732,5.46037,1.70277,0.504464,0.978498,-0.580345,0.938111,3.28601,0.679709,0.00744033,-2.58926,0.370241,0.159236,1.03066,0.142735,0.449907,0.892754,-1.28202,-0.564178,-0.0604038,0.0485,0.172449,-1.90221,-0.784534,-0.58954,0.892198,1.31358,2.47228,6.30863,
2,44.1409,40.5337,37.5,47.982,38.7475,19.1149,10.2642,15.9312,6.23107,-4.62889,-8.40887,-11.6251,-20.8631,-24.3924,-20.6927,-25.9729,-19.5636,-7.38461,-0.593395,0.826391,-1.7235,-6.44087,-8.94056,-7.9873,-7.26185,-2.29241,2.04689,1.29266,1.72135,3.28604,17.5446,19.237,29.2923,41.6416,51.5405,46.5218,
3,25.0016,8.99524,1.26516,-6.51183,-5.20484,0.216118,3.86601,7.98698,7.6605,0.763844,-0.636113,-3.5864,-1.28442,-2.85918,-0.244921,0.114605,0.015835,-1.9117,-1.12562,0.219658,1.31835,1.67094,2.80321,3.57617,-3.60319,-4.47599,-3.23753,-6.11092,-4.96752,-9.53949,-8.70163,-2.18341,-2.65015,-5.48687,-14.4599,-1.10964,
4,61.5438,53.8063,53.8481,39.6112,21.5347,9.76602,17.9479,30.0402,37.1883,56.4558,66.3405,65.5308,64.2321,55.4573,44.9806,37.6998,29.7866,17.8968,6.36869,2.13056,3.61894,1.86768,0.0844741,-14.9044,-14.0681,-0.231511,2.72113,13.7188,24.1711,27.5853,41.9432,32.7121,36.1707,45.6634,61.5271,60.4432,
5,88.2736,61.9155,53.9822,41.3154,43.7617,39.041,35.906,48.0054,47.785,75.1712,77.8452,79.6013,66.5211,47.5303,48.1188,34.9388,24.407,17.6661,15.3665,12.4343,11.0779,0.126928,-6.13723,-16.7808,-15.0309,-25.6383,-14.8125,9.74455,-4.07996,-10.6335,26.2065,42.4208,68.5946,77.0808,76.0777,81.7943,
6,24.0379,16.2765,13.4267,12.897,14.8363,15.3478,12.9694,14.1391,14.0923,12.8094,3.10645,6.43417,8.94865,12.6403,10.2228,5.97306,5.51192,6.85786,8.76372,10.3879,0.389557,-9.9772,-12.9939,-12.8612,-13.8059,-13.0473,-6.44898,4.60058,8.1031,6.37805,10.7468,12.6329,14.5453,10.2981,16.2285,17.6385,
7,11.8455,6.76534,3.64359,-1.57678,-1.48875,-1.44454,-4.44981,-1.47113,-2.89938,-6.28298,-5.70916,-7.61497,-5.60931,-0.842422,9.04947,12.5011,11.2508,9.86364,1.8665,-1.74585,-3.90786,-4.44243,-1.53308,2.72252,2.39198,6.6417,7.16876,5.28006,-2.33616,-4.76847,-4.09889,-4.99234,-0.248262,0.274799,0.337712,-0.0418339,
8,24.9425,5.32796,0.845405,7.25136,3.76869,-1.88614,-10.7158,-12.6061,-4.00481,0.0590775,-1.07883,-2.90156,-17.727,-30.0278,-33.542,-33.523,-25.2721,-23.2716,-13.1413,-13.2004,-12.5211,-14.794,-7.38201,-5.04351,-7.33508,-11.0883,-11.9273,-5.44525,0.605529,-0.251456,-9.1354,-0.603033,3.8478,16.9883,23.5428,23.3986,
9,22.5209,4.85418,-4.21519,-7.88772,-7.71807,-9.99838,-8.63519,-1.22139,-1.0723,-1.57051,-0.276004,0.587327,-2.18028,7.16145,9.53068,5.77149,10.6258,11.4045,15.6091,12.6912,10.7254,6.7597,7.04346,1.35489,4.80243,6.2717,9.20055,7.98119,3.96869,-0.468544,-3.15613,-4.16817,-3.2461,-0.0136724,4.20571,7.36651,
