Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,6.89202,0.177166,-0.166351,-0.404427,-0.447946,-0.511951,-0.383955,-0.503956,-0.515789,-0.121526,
1,7.27073,0.113206,-0.216192,-0.452687,-0.613962,-0.598235,-0.532104,-0.331036,-0.305835,0.260648,
2,6.95628,0.0338518,-0.295217,-0.514364,-0.540722,-0.520173,-0.321341,-0.323964,-0.361106,0.0125675,
3,6.9891,0.122292,-0.343579,-0.397485,-0.375305,-0.36776,-0.283759,-0.396877,-0.408967,-0.0312643,
4,7.18833,0.0425142,-0.380756,-0.315324,-0.585667,-0.440456,-0.652524,-0.423547,-0.292457,0.0436915,
5,7.26308,0.244902,-0.405882,-0.404024,-0.264003,-0.372583,-0.521103,-0.540716,-0.436407,0.0184647,
6,7.08695,0.122302,-0.407965,-0.517864,-0.410706,-0.451023,-0.379706,-0.220251,-0.486196,0.142565,
7,7.3516,0.167725,-0.318801,-0.639381,-0.575859,-0.383948,-0.41613,-0.317904,-0.33778,-0.10744,
8,7.20191,0.185537,-0.55402,-0.70021,-0.391452,-0.541088,-0.401171,-0.458441,-0.436974,-0.0201446,
9,7.20644,0.0314127,-0.415288,-0.518785,-0.44642,-0.396157,-0.424284,-0.436343,-0.247145,0.261401,
10,7.16481,0.169405,-0.339911,-0.468466,-0.499654,-0.620505,-0.612449,-0.577926,-0.285156,0.178228,
11,6.9967,0.0861862,-0.293777,-0.358261,-0.54822,-0.457295,-0.37481,-0.295155,-0.392146,-0.00258656,
12,7.13895,0.0974295,-0.10335,-0.262249,-0.46975,-0.544448,-0.484958,-0.645674,-0.154406,0.152867,
13,7.2814,0.144457,-0.437326,-0.392543,-0.507328,-0.586961,-0.378293,-0.380035,-0.462356,-0.14812,
14,7.06716,-0.00481747,-0.248569,-0.399617,-0.538013,-0.436641,-0.525257,-0.515166,-0.302158,0.0476154,
15,7.28808,0.181475,-0.38191,-0.30776,-0.451826,-0.392599,-0.544116,-0.640383,-0.383847,0.157156,
16,7.16485,-0.0533674,-0.213813,-0.39865,-0.505962,-0.397207,-0.452412,-0.281941,-0.32621,0.0435071,
17,7.03956,-0.0508987,-0.515624,-0.401121,-0.361492,-0.458175,-0.529701,-0.571134,-0.247994,0.0276796,
18,6.70433,-0.130468,-0.415672,-0.491801,-0.386408,-0.454868,-0.25,-0.37618,-0.362288,-0.0147401,
19,7.09345,-0.0185045,-0.511661,-0.211791,-0.456116,-0.479178,-0.405395,-0.300924,-0.433054,0.0376991,
20,7.30341,-0.162077,-0.33572,-0.440797,-0.484218,-0.369631,-0.395072,-0.47539,-0.289732,-0.000230287,
21,7.21504,-0.0615433,-0.4466,-0.380777,-0.414662,-0.456799,-0.376514,-0.618024,-0.386047,-0.0443011,
22,7.29717,-0.0143417,-0.382959,-0.288016,-0.563933,-0.458669,-0.509916,-0.496337,-0.306883,0.0546608,
23,7.14591,-0.013889,-0.559499,-0.569133,-0.516667,-0.565537,-0.376917,-0.356685,-0.411636,-0.00664831,
24,7.19979,-0.0881371,-0.533558,-0.563782,-0.35595,-0.395131,-0.281952,-0.398607,-0.35004,0.052131,
