Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,17.3436,6.58877,3.89848,2.42005,1.40356,1.24728,1.23637,2.14527,4.35521,7.34946,
1,16.8629,6.22834,3.68638,2.36731,1.38658,1.49807,1.68096,2.36938,3.78259,6.2313,
2,17.6911,6.68297,3.92602,2.13581,1.65662,1.41626,1.62839,2.79102,4.19401,7.26893,
3,18.3572,8.20772,5.09886,3.63058,2.51113,2.18451,3.02482,3.93764,5.09658,8.22286,
4,15.7005,5.31892,3.09314,2.50091,2.08994,1.91264,1.97203,2.66103,3.22635,5.85492,
5,16.628,6.48199,2.91243,1.73681,0.764411,1.20513,1.75987,2.15325,3.42408,6.25046,
6,16.8034,6.87379,4.20496,2.85471,1.82132,1.576,1.76856,2.45334,3.66792,6.74104,
7,16.4371,6.42986,4.4072,3.42658,2.4814,2.3808,1.97218,2.35394,3.72951,6.37211,
8,16.6182,6.57397,3.67069,2.30862,1.89172,1.87722,2.14186,2.58323,3.89104,6.43939,
9,16.3188,6.59079,3.61972,2.57346,1.93487,2.04947,2.40565,2.61403,3.55999,6.1693,
10,16.5907,6.31991,3.70045,2.63597,2.11756,2.17501,2.12031,2.8195,4.22943,6.5715,
11,16.5572,6.75255,4.09802,2.62479,2.3797,2.01155,2.18431,3.26106,4.551,6.7726,
12,17.0497,6.7863,4.52577,3.31802,2.98072,2.35952,2.71097,3.48713,4.73065,7.18313,
13,16.7327,6.8298,4.15148,2.76678,2.62746,2.83088,2.67927,2.98793,4.7126,7.04218,
14,18.0236,7.41695,4.56928,2.92884,3.16853,3.11579,3.44631,4.2147,5.45194,7.67493,
15,17.7346,7.52681,5.0634,3.43546,2.63984,2.46667,2.81839,3.43453,4.90092,7.75106,
16,17.1012,7.12749,3.90459,2.35135,1.46155,1.02778,1.37319,1.89251,4.28038,6.82396,
17,16.8713,6.65345,4.12658,2.89638,1.96288,2.02198,2.09512,2.7793,4.1439,6.87016,
18,16.4489,6.74812,3.84466,2.77908,1.40265,1.58105,2.00629,2.47886,3.46489,6.29659,
19,17.3954,7.01982,4.27514,3.25567,3.07043,2.35766,1.88326,2.87106,4.6863,7.70665,
20,16.2272,6.8139,4.43977,2.90911,2.74133,2.11196,2.38144,2.65567,4.21681,6.43928,
21,16.5069,6.66909,4.00914,2.85002,2.5085,2.6349,2.52528,3.52974,4.4935,6.77882,
22,17.4858,7.72718,4.90928,3.56906,2.63435,1.97424,2.7533,3.48201,4.66361,7.16116,
23,17.1818,7.11417,4.56721,2.94068,2.16592,2.17535,2.04822,2.55199,4.42508,7.22736,
24,16.0022,6.12365,3.22224,1.82135,1.32491,1.05937,1.26507,1.82642,3.10093,5.6953,
