Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,0,0.352606,-0.315343,-0.457029,-0.492507,-1.39484,-1.48429,-1.59395,-0.572344,-0.390029,
1,0,0.435129,0.143751,0.179031,-0.609337,-1.29533,-1.2711,-0.952022,-0.575145,0.318636,
2,0,0.0318487,0.148335,0.503992,0.0334367,-0.1896,-0.674496,-0.308624,-0.38624,-0.628142,
3,0,0.162149,0.417217,0.711442,0.69578,0.0674362,0.302912,0.459243,0.245145,-0.159662,
4,0,0.326585,0.0327131,0.633041,0.918716,1.05564,0.213779,0.0134009,0.109202,0.281961,
5,0,0.183656,0.286854,-0.0124309,-0.0284154,0.19251,-0.598645,-0.255091,-0.178936,-0.439704,
6,0,0.794344,0.459474,-0.564418,-0.5212,-0.72265,0.747857,0.189528,0.579204,-0.3281,
7,0,-1.40254,-1.47813,-1.1751,-1.29056,-0.61377,-0.409157,-0.26496,0.309841,0.641582,
8,0,-0.0730922,-0.0195218,0.134929,0.648266,0.766731,0.930463,0.656651,-0.10673,-0.130983,
9,0,-0.204388,-0.695238,-0.354609,-0.346957,-0.144106,0.679743,0.875246,0.891977,0.598733,
