Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,23.725,14.4516,11.3695,9.91024,8.85291,8.08305,8.20507,9.40899,11.8559,14.5237,
1,23.0228,13.4826,11.0488,9.23824,8.34863,9.21762,9.21875,10.1719,10.8363,13.5655,
2,24.2383,14.3147,10.879,9.55101,9.21747,8.73794,8.83628,9.80296,11.7299,14.808,
3,24.0619,14.4659,10.85,8.30799,8.17295,9.3295,10.4909,11.1772,12.4196,14.3589,
4,23.3566,13.9772,11.2068,9.73873,7.50959,7.72773,7.68372,8.26484,10.496,13.4939,
5,22.9538,13.9598,10.9604,9.07213,8.43532,8.25174,8.2666,9.50216,10.6152,14.0149,
6,22.4034,13.7246,10.6801,9.17406,8.47261,8.50247,8.40914,9.38451,10.5011,13.1978,
7,23.3897,13.5922,10.1026,7.8627,6.65297,6.1589,7.45794,8.95632,10.369,14.0337,
8,23.8989,14.5537,11.7687,9.77422,8.48064,7.81228,7.94575,9.25528,11.329,14.5308,
9,23.1483,13.4504,9.64725,8.01501,7.40862,7.51216,8.4896,9.561,11.4342,14.1836,
