Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,4.96784,0.196912,-0.40845,-0.243327,0.00836858,-0.397152,-0.117551,-0.425302,-0.432263,0.0154511,
1,5.16883,0.182701,-0.0846809,-0.689864,-0.159352,-0.438046,0.22706,0.149711,-0.405329,0.528732,
2,5.0448,0.0229819,-0.375202,-0.0773779,-0.27198,-0.124677,-0.194972,-0.635283,-0.514296,-0.29387,
3,5.07385,0.100516,-0.409162,-0.122897,-0.515865,0.169993,-0.490699,-0.630409,-0.0575967,-0.0924593,
4,5.52228,-0.0484215,-0.0991323,-0.18451,-0.665816,-0.635171,-0.257912,-0.124794,-0.690928,0.254965,
5,6.05679,0.185629,-0.404886,-0.0432587,-0.166386,-0.581322,-0.286618,-0.302495,-0.334421,-0.160172,
6,4.76007,-0.221317,-0.121635,-0.0461903,-0.382666,0.0856919,-0.374386,-0.323597,-0.0909855,-0.145941,
7,6.10067,0.100136,-0.0647184,-0.188711,-0.834518,-0.19881,-0.29286,-0.745229,-0.388239,0.395102,
8,5.16148,-0.344132,-0.294437,-0.3933,-0.617709,-0.0464342,-0.345383,-0.182053,0.00356272,0.182097,
9,4.51296,0.121553,-0.237004,-0.91118,-0.343588,-0.232578,-0.159564,-0.404319,-0.243612,0.16967,
