Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,7.64988,3.68131,2.22128,1.9987,1.38843,1.32236,1.99503,2.44196,2.81918,3.76758,
1,9.93114,5.24585,3.04036,2.11784,2.28396,1.92462,1.92442,2.31317,3.50195,6.53109,
2,8.22244,5.03202,3.37439,2.44593,2.0548,1.69236,1.51268,1.92355,2.72458,4.25291,
3,4.53455,1.76119,0.642714,0.583215,0.587157,0.697491,0.534535,0.517654,0.46225,1.528,
4,9.99018,4.90824,3.02226,1.7932,1.46925,1.31447,1.88044,2.30963,2.99516,5.16781,
5,9.94581,6.0252,3.79836,2.56247,1.66933,1.78118,2.36343,2.76282,3.56316,4.89704,
6,7.87621,3.92994,2.26921,1.41027,1.04602,1.07856,1.89167,2.09998,2.51297,3.86756,
7,8.60142,4.57422,2.27914,0.773828,0.227872,-0.361196,0.291805,0.998468,2.04431,3.57446,
8,8.82534,4.98081,3.43936,2.26975,1.57296,1.83972,2.78702,3.17551,3.49105,4.2256,
9,8.56194,4.01635,2.14481,1.11473,0.113278,0.644277,1.28934,1.33978,2.11891,3.9129,
10,9.88397,4.5742,1.93438,1.50083,1.31365,1.17852,2.01018,2.97169,4.24598,5.71363,
11,8.63536,4.97156,4.12439,2.83763,2.70737,1.67377,1.60293,2.42527,3.90789,5.2846,
12,8.12336,3.89906,2.23863,1.55602,0.520078,1.30267,1.50871,2.09352,2.57427,3.77082,
13,9.20095,5.17595,3.90141,3.43263,3.00358,2.71318,2.50945,1.96853,2.52269,4.29058,
14,6.40258,2.4375,0.93724,0.843728,1.04557,1.0702,1.265,1.53626,2.18351,3.13541,
15,6.7804,2.7193,1.79209,1.26464,1.15721,1.07127,1.04706,1.52533,2.26562,3.86737,
16,7.09732,2.99882,1.9388,1.84174,1.91424,2.11663,1.90749,2.04385,2.33668,3.80898,
17,9.60244,5.15969,2.97274,1.53563,0.841665,0.667119,1.17997,1.7678,2.69897,4.32456,
18,9.97361,6.05665,4.46964,3.36192,2.82431,2.7456,3.34724,4.17016,4.85672,6.46416,
19,6.61258,3.90308,2.5919,1.42225,0.722947,0.54196,0.556479,1.3315,1.99348,2.89779,
20,8.41329,3.84335,2.6699,1.59271,1.02597,0.64981,0.753241,1.60382,2.91358,4.71358,
21,8.20802,4.32303,2.57871,1.98585,1.92669,1.83218,1.98206,2.12423,2.97873,4.54926,
22,7.72517,3.9445,2.65249,2.25175,1.85214,1.49856,1.25567,1.65048,2.53193,3.59303,
23,8.40433,4.36273,2.3818,0.992288,0.93941,0.673265,0.7995,1.76629,3.05357,4.24429,
24,10.9283,7.69771,6.85109,6.62912,6.73669,6.13986,6.2046,6.40442,6.90601,8.00045,
