Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,0,-4.02554,-2.0593,0.231724,1.14241,2.3147,3.94242,5.07958,2.54259,2.06128,
1,0,2.24687,0.85469,0.457162,1.47465,2.59039,-1.17646,-3.31098,-3.36776,-3.12429,
2,0,4.24731,3.06824,4.28782,3.86359,2.18643,1.01902,0.0327283,-1.7647,-2.61396,
3,0,-2.5143,-1.39767,-2.35299,-3.74742,-5.10107,-3.31323,-0.940255,0.916309,1.68327,
4,0,-0.980573,1.42731,2.2614,1.56627,1.29952,-1.86114,-5.60244,-2.94016,0.459649,
5,0,-0.927595,-0.795256,-2.65831,-1.11928,-0.906304,-0.341585,0.414853,1.00828,0.464319,
6,0,-2.95395,-4.41329,-5.04278,-5.32442,-3.15441,-0.716213,1.23295,1.77489,2.09145,
7,0,-2.57821,1.66481,1.61466,0.827787,-1.51489,-3.64983,-3.09272,-1.96834,-1.4657,
8,0,-2.98718,-3.73757,-4.27719,-3.20244,-2.73781,-0.488855,1.45962,-0.79556,-0.685224,
9,0,1.37265,2.23693,0.350753,0.600653,-0.364807,0.637295,0.750614,1.21677,-0.00973801,
