Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
14,26.5246,1.50122,1.59331,-2.40619,-0.461073,-1.47879,-1.05901,-1.27993,-1.72248,0.787668,-0.738851,-0.604628,1.98375,1.18522,0.200432,-0.778931,-0.705429,-1.65536,-1.27453,-0.48802,-0.495626,-2.6028,-0.0469224,-2.44337,-1.18105,2.75195,2.1336,-0.0531856,-1.46558,-0.921864,-0.103727,-1.15202,-1.57112,-1.57263,1.72291,1.16781,
15,24.61,-0.66853,-0.969531,-1.10978,-1.49445,1.01816,-0.911904,-0.768907,-0.229003,-0.278897,0.535475,0.487148,-0.115249,-1.38821,-3.26249,-0.770711,0.68381,-1.49375,1.10794,0.122936,-1.07059,-0.26264,-1.50358,-1.80704,-1.03915,-0.28719,1.30145,-2.7089,0.685611,0.550156,-0.439125,-3.1063,-1.68927,0.164448,-1.90538,1.48397,
16,23.7528,-1.39183,-0.150307,0.274719,-1.06766,-0.638791,1.36924,-0.191678,3.73623,2.73773,0.493565,0.606756,-1.23882,1.5966,2.48553,-2.33273,-0.944723,0.0337279,-1.34975,-1.78636,0.431362,-1.6304,-0.286206,0.324833,-1.11953,-0.99083,-0.184985,0.144901,-0.136533,-0.0502587,-0.770588,1.79896,-2.20385,-2.6046,-1.43706,0.793875,
17,27.8912,3.24912,-1.40674,2.36447,-0.318541,1.4822,-0.280127,0.469968,-0.0711967,-1.54171,-1.35752,0.749602,0.186749,0.100717,0.416587,-1.92378,-1.53285,0.334154,1.07197,-0.980029,-2.83986,-2.30607,1.22106,0.987647,-0.661154,-0.453426,-2.28929,-0.428997,-1.06142,0.68636,-0.49442,1.27881,-2.18108,0.200806,-2.89626,1.5757,
18,26.6267,2.45981,-2.29531,-1.02624,-0.52321,-1.2519,0.604388,-0.0475718,0.196721,-1.11309,-0.471127,2.01359,-0.16,0.157009,1.14452,-2.73731,0.507465,-1.00061,-1.9143,-3.21321,0.721653,-1.76779,2.23863,1.24596,1.47641,-2.25563,0.275493,0.629923,-0.473636,1.51413,0.0308085,1.23067,2.84365,1.32149,-1.06141,2.51571,
19,24.9405,0.9536,-1.343,0.49443,-1.79813,-1.44696,1.28864,0.307514,0.0348697,0.62863,0.601966,-1.18351,-1.60556,-0.769498,0.599126,-0.639053,-1.67562,0.950851,1.10486,0.359587,2.04514,0.263552,1.11815,0.392613,0.15903,-1.38754,-0.949811,0.0618299,0.749398,0.245101,-0.767593,1.14602,-2.33379,-1.2735,-0.352845,1.11062,
20,29.2484,0.0722241,3.25081,0.550953,-1.28272,-1.30461,-0.664802,-2.10558,-2.19485,1.74618,-1.8106,-0.646847,-0.324307,-0.415216,-2.23214,-0.358148,-2.54062,-0.949089,2.34832,0.548039,1.3051,1.68225,-0.219935,1.3369,0.841529,-1.77569,0.245529,0.498836,-0.811979,-0.997951,-1.43086,-1.35132,0.210472,-0.574292,0.9009,1.87111,
21,24.9798,1.22847,2.30354,-0.709831,2.54241,-0.467977,1.58204,1.37994,2.36839,-0.257711,-0.123156,-1.28059,-2.3492,-0.099188,-1.37866,1.43606,-0.600417,-0.233555,-2.81504,-1.57201,0.615362,0.0301938,-0.185192,-0.00404491,-1.42647,0.696156,-0.659288,-1.50845,0.454884,-1.06952,0.999558,-2.16289,-0.684274,-2.15547,-1.37693,1.34506,
22,21.9619,0.440798,-2.33502,-0.531739,-1.28863,0.213586,0.709115,1.97959,0.262364,-0.455375,1.14942,1.41607,-1.15297,-0.791788,1.06414,-1.47966,1.8591,-2.05217,0.414023,-0.925614,-1.36947,0.241689,0.454569,-0.287318,-0.399693,0.996064,-1.22194,1.6253,0.182145,-1.0409,-0.181951,0.00174075,-2.98074,0.0775617,0.554462,-0.0281041,
23,23.7855,1.57158,-2.23197,0.675079,0.388923,0.511195,-1.11788,-1.66351,-0.957959,1.41311,1.02593,2.56834,0.974048,-0.257289,-0.204846,0.789317,0.891704,0.223723,0.577404,-1.1504,-2.12829,1.6713,-1.62423,-1.33779,-0.431823,-2.04299,-1.58619,-1.58552,-1.84836,0.528479,-0.181954,-1.23742,2.82036,-0.0781673,-1.43522,-0.0921504,
24,29.1959,0.888153,-1.58456,-2.63902,-1.77372,1.99195,1.45154,-1.1994,-1.14272,-2.4405,0.412177,-1.90341,-3.88045,-1.90753,-2.23762,1.03508,3.32007,-0.495717,0.0464037,-2.33482,0.428681,0.0667345,-0.25902,1.26854,-1.70195,-4.37254,0.825725,2.40774,2.02871,-0.0297228,-1.09284,1.39407,-0.905708,-1.98632,-0.839436,2.09565,
