Sample #,value,
0,0.805259,
1,0.806036,
2,0.806191,
3,0.806207,
4,0.805576,
5,0.806007,
6,0.806275,
7,0.806376,
8,0.806406,
9,0.805342,
10,0.807096,
11,0.80641,
12,0.806132,
13,0.805821,
14,0.805121,
15,0.806702,
16,0.806662,
17,0.806799,
18,0.806905,
19,0.806327,
20,0.805906,
21,0.805784,
22,0.805719,
23,0.806134,
24,0.806173,
