Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,21.7629,3.57305,1.64807,1.43778,2.45247,0.280495,-0.913973,0.925539,1.75066,1.8296,-1.07183,-0.709662,0.220413,-0.364981,0.871602,-1.97867,-1.30515,0.103964,-0.907907,-3.12951,-2.84715,-1.56701,-0.03466,1.84625,
1,23.3682,5.2346,4.00632,0.241469,0.584537,0.856652,0.930678,0.895587,1.35059,0.721137,0.932487,-1.15537,0.0987658,2.066,1.47514,-0.190353,-1.67876,-1.53455,-1.64174,-1.10268,0.309308,2.15084,3.21972,4.17497,
2,24.798,5.70521,3.29612,-0.74021,-1.06374,0.0024469,-1.27884,-1.58922,1.55445,-1.06958,-0.717459,-1.20863,-0.027989,0.0321548,0.318372,1.42453,-1.47581,-1.5574,-1.3747,-0.513977,1.7048,1.47457,2.46374,3.49671,
3,22.4164,3.86432,0.860599,0.187879,0.622457,-0.681613,-0.273547,-0.37888,-0.154419,0.226703,0.739663,1.14966,0.204178,0.110904,2.41682,0.277082,1.17209,-1.09452,-0.180264,0.343175,1.9627,0.297105,2.62838,4.7821,
4,21.9888,4.40528,1.36925,1.61463,3.50671,-0.554966,-1.39445,-1.78519,-0.229154,0.599277,-0.0882989,0.527241,-0.152746,0.592594,-0.473205,-0.248011,0.612535,0.190125,0.509929,0.408788,0.841933,1.17219,1.68654,1.93006,
5,19.6749,2.88485,-0.806248,-0.559693,0.878509,-1.31299,-0.844907,2.01373,2.33246,1.62169,0.940627,1.18943,2.12455,0.582833,-1.22056,-1.6255,-2.31109,-1.94681,-2.48371,0.345696,2.20763,2.50241,3.70361,3.58448,
6,20.7917,4.39241,2.8452,0.462131,0.0698471,0.0025004,-0.109802,1.1697,0.18693,-1.22434,0.918745,0.451046,0.623509,-0.718155,0.938458,-0.51211,0.312783,1.1924,1.54705,-0.152063,2.91266,2.12712,2.70249,3.52849,
7,22.5115,5.34097,1.57408,2.45696,2.08587,3.16946,1.17883,-0.304394,-2.28015,-2.13709,-0.953236,0.821546,1.40325,-0.351947,0.0973018,2.20301,0.653013,-1.97494,-2.70582,-1.45117,1.38266,0.515733,2.62965,3.9087,
8,20.8234,3.80634,2.9179,-1.50173,-0.165458,-3.27111,-2.27836,-1.36835,-0.978498,-1.44683,-1.66698,0.261996,-2.00605,-1.37515,-0.813626,1.08567,1.73419,0.490919,-1.09242,-0.125035,1.58784,-0.45768,2.14871,3.07707,
9,21.2171,4.00381,0.125183,-0.0411972,-0.377742,-2.1116,-0.82428,-1.74977,-2.21975,-1.8696,0.517145,0.581615,2.88609,-0.167454,2.48312,0.483071,0.800439,0.261222,-0.0994412,-0.0741169,0.179064,-1.00539,3.4539,3.04801,
