Sample #,value,
0,0.838501,
1,0.838869,
2,0.838984,
3,0.838429,
4,0.83883,
5,0.838679,
6,0.838901,
7,0.838596,
8,0.838757,
9,0.838483,
10,0.838673,
11,0.838799,
12,0.838932,
13,0.838999,
14,0.838778,
15,0.839101,
16,0.838733,
17,0.838627,
18,0.838417,
19,0.838768,
20,0.838782,
21,0.838401,
22,0.83867,
23,0.838769,
24,0.838767,
