Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,19.4975,-0.807838,-2.17153,-0.777157,-0.36185,-2.34278,-2.54839,-3.15825,-1.36989,0.734944,2.1648,-0.859888,-2.19986,-2.08685,0.521136,0.288583,-0.383266,-2.40175,1.26679,-0.836843,0.901367,-1.29412,-1.37532,-0.399566,
1,17.6545,-0.0278718,-1.60107,-0.39284,-0.0300038,-1.41461,-1.14499,-0.778825,-0.874326,-1.65272,-1.45287,-0.837023,-1.09685,-0.747032,-1.10211,0.649415,-1.41657,-0.73821,-0.403042,0.414046,-1.48172,-0.555799,-1.98988,1.0204,
2,18.6957,-0.297617,-0.559741,-2.99103,-1.19663,-1.98087,-1.52341,-1.35557,-2.31546,1.14816,0.108409,-1.06919,-0.116376,-0.69036,-0.622289,-0.462644,-1.92033,-0.705286,0.16311,-0.245907,-0.832144,-1.50681,-0.814495,1.09078,
3,17.8803,0.0631065,-0.39701,-2.35733,-1.06913,-2.02503,0.208075,-1.64087,0.551706,0.491148,-0.186282,-0.810742,-1.61067,-0.84511,-1.52934,-1.08408,-0.843919,-1.17271,-2.40896,-0.54539,-0.0849174,-1.67031,-0.844337,1.93183,
4,16.5678,1.63477,-0.511908,-2.33798,-0.494725,-3.02377,-0.793065,-0.026859,-1.81936,-1.55983,-1.34628,-0.0670891,-0.15679,0.118236,0.95106,-1.1434,0.726999,-0.907037,0.979425,-2.75618,-1.57951,-2.0793,-1.2759,0.900738,
5,15.2668,1.39562,-0.838543,-0.111464,-1.05246,0.0269047,-0.481336,-0.812954,-1.82391,-0.922966,-0.586988,-0.0540522,-1.37236,-2.93283,-0.277159,-1.02258,-0.234717,-0.435284,-1.114,-1.22792,-0.289863,-0.29257,-0.365058,-0.440327,
6,18.6984,1.71113,-1.62314,-0.406347,-1.26271,-1.40003,-2.57093,-1.07757,-1.17901,0.712056,-2.5623,-1.91676,-0.281909,1.7505,-0.413954,-1.82383,-1.5177,-0.835705,-1.4294,-0.385194,-1.38379,0.670096,-0.63662,-0.835284,
7,19.5949,1.53995,0.643584,0.926166,-1.72522,-2.18941,0.651525,1.01504,-0.933417,-1.72952,-2.59867,0.720085,-0.890925,-1.95785,-1.47891,-1.25933,-1.25323,-1.98276,-0.89785,-0.667005,-2.23873,-2.80592,-1.79323,1.31076,
8,18.2055,2.23217,-0.490468,-2.39011,0.0610628,-3.13257,-0.74892,-0.203398,0.138155,-1.95998,-0.902579,-2.44362,-1.24799,-1.37545,-0.184239,-1.48845,0.217418,-0.836607,-1.69637,0.0618837,0.328707,-1.08151,-1.69497,0.63234,
9,19.0652,0.688628,0.100008,-0.193135,0.406504,-1.68086,-0.0427483,-1.30825,-2.82523,-0.687376,-1.01192,-2.65177,-0.903473,-1.09013,-2.79082,-1.35962,-1.02986,-1.35039,-1.1529,0.289628,1.27806,-1.07563,-1.57989,0.90599,
