Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,0,-0.0706062,0.195458,-0.188187,0.212343,0.0420108,0.11835,0.20856,0.255935,0.457276,0.158982,0.23891,0.347727,-0.0977592,-0.106762,-0.200838,-0.000170141,-0.199994,-0.352619,-0.376832,-0.19154,-0.123549,-0.436684,-0.377342,
1,0,-0.258793,-0.061237,0.34648,0.295752,0.133261,0.00356615,0.0731487,-0.218192,-0.0427282,0.193935,0.237561,-0.0857832,-0.0802552,-0.64569,-0.223362,-0.0667817,-0.232326,-0.150866,-0.273486,0.117399,-0.0826909,-0.0614997,-0.370385,
2,0,0.35284,0.640734,0.602486,0.441923,0.233232,0.0261217,0.956005,0.278482,0.340369,0.486532,1.07356,0.0802819,-0.010854,-0.204241,-0.161156,-0.00851028,-0.195599,-0.462242,-0.453213,0.408856,0.0246452,0.281876,0.68151,
3,0,0.148848,0.168938,-0.122158,0.471186,0.761225,0.345082,0.0711773,0.604231,0.237118,0.663102,0.182489,-0.138385,0.0146405,0.115492,0.421861,0.172054,-0.235713,-0.0112358,0.41615,-0.0127208,-0.367567,-0.11324,-0.441368,
4,0,0.136666,-0.383813,-0.156865,-0.371872,-0.21723,-0.183114,-0.300514,-0.179731,-0.524504,-0.416036,-0.582593,-0.453103,0.0889618,0.142392,-0.285552,0.403333,0.0177903,0.151772,-0.026072,-0.247654,-0.157356,-0.345541,-0.40756,
5,0,0.364237,-0.0614431,0.2895,0.429285,-0.0104986,0.115803,0.517881,-0.355055,0.0749105,-0.00498366,-0.0110978,0.100751,-0.0735633,-0.336527,-0.899085,-0.616434,-0.682582,-0.581639,-0.250371,-0.233027,-0.431227,-0.408197,0.0409027,
6,0,0.0949864,0.295149,0.307855,0.152317,0.0372266,-0.169246,0.171286,0.170974,0.152186,-0.0917255,-0.136974,-0.0526984,0.226901,-0.00271123,-0.407912,-0.388791,0.1168,0.611801,0.2429,-0.221779,0.48757,-0.103987,-0.440968,
7,0,0.119741,-0.0767214,0.0400298,-0.507337,-0.330711,-0.782143,-0.566897,-0.350418,-0.264838,-0.299669,-0.226419,0.0488864,-0.00368849,0.442057,0.249717,-0.200969,-0.253979,0.0905545,-0.410083,0.185063,0.115834,0.643013,0.475971,
8,0,-0.127289,-0.0305328,0.570452,0.414788,0.393565,0.185628,0.389849,0.382763,-0.333662,0.150834,-0.709522,-0.517721,-0.0852985,0.00531591,0.206472,0.074121,0.333472,0.212848,0.311371,0.579043,0.116982,0.256221,0.201444,
9,0,0.175637,0.577097,-0.305871,-0.110501,-0.0767274,0.0347438,0.155149,-0.136063,-0.0253934,-0.0264288,-0.657821,-0.337904,-0.182407,0.375572,-0.177842,-0.373401,-0.304065,-0.36337,0.148563,-0.302935,-0.180319,-0.197289,-0.53444,
10,0,-0.142785,-0.229725,-0.111683,-0.269393,-0.162048,-0.0195098,0.162461,-0.502851,-0.0785014,-0.12755,-0.457174,-0.0630472,-0.115017,-0.165067,-0.0346806,0.586952,0.149794,0.631495,0.274451,0.35798,0.148442,0.108422,0.0539102,
11,0,0.285512,0.429059,0.486583,0.397976,0.32878,0.510074,-0.358511,-0.253588,-0.0620987,0.0603905,-0.0406929,-0.172086,0.153443,-0.091068,0.419489,0.193449,0.0277711,-0.102931,0.706155,-0.0961225,-0.167254,-0.0654528,0.104118,
12,0,-1.20736,-1.00141,-0.637526,-0.497949,-0.679412,-0.325749,-0.0301405,-0.15,-0.691307,0.0303588,-0.435959,0.3975,0.366906,0.554933,0.707618,0.747473,0.653372,0.70621,0.814716,0.556829,0.979282,1.14491,0.922706,
13,0,-0.793151,-0.908,-0.830192,-0.379475,-0.649122,-0.668007,-0.746259,-1.1927,-1.10701,-1.02736,-0.754062,-0.600795,-0.105444,-0.388569,-0.188157,0.156434,0.401894,-0.301402,-0.114878,0.11473,1.12496,1.71903,1.63203,
14,0,0.357121,-0.415777,-0.265294,-0.0869856,-0.292414,0.342339,0.0822001,-0.12921,0.358142,-0.205347,-0.342515,-0.403785,-0.485694,-0.573639,-0.220955,-0.326068,-0.345375,-0.292951,-0.459682,-0.749267,-0.348506,-0.11637,-0.607877,
15,0,0.234503,0.587744,0.483375,0.338052,0.345123,0.526386,0.60821,0.414288,0.0429817,0.0558829,-0.0442544,0.0121214,-0.255274,-0.475451,-0.263636,-0.336637,-0.348731,-0.332721,-0.19856,-0.174919,0.10925,0.045099,-0.0876648,
16,0,-0.910983,-0.476483,-0.498101,-0.0173872,0.0453546,-0.190645,-0.130925,0.0862766,0.189843,0.00474918,-0.165006,0.107614,-0.201271,-0.324123,-0.310131,-0.135261,0.406694,-0.117652,-0.156647,0.445346,-0.100854,0.710814,0.25122,
17,0,-1.12875,-1.28535,-1.13164,-1.29768,-1.03793,-0.98533,-0.161892,0.190193,0.441441,-0.086657,0.274273,-0.157251,-0.342953,-0.405592,-0.106307,0.099964,-0.0337732,1.14527,1.03695,1.60659,1.1685,2.03117,1.70346,
