Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,24.0716,5.39352,3.10146,1.7064,1.75981,1.14312,1.15346,0.742533,0.581276,0.775517,0.984427,0.74666,0.48399,-0.138566,0.279614,0.415425,-0.197114,0.306152,0.634954,0.500512,0.624456,1.73518,3.02519,5.79546,
1,23.1753,5.16951,2.85121,1.6743,1.18836,0.833892,0.749074,0.307181,-0.205862,-0.0777467,-0.112516,-0.559563,-0.444952,-0.0893214,-0.279538,-0.059824,0.0386917,0.17332,-0.0935317,0.154518,1.20583,1.26475,2.62199,5.20968,
2,24.3544,5.83852,2.87007,1.54828,0.887279,0.824283,0.377138,0.693009,-0.0557505,0.0594995,0.292731,0.154024,0.197155,-0.101423,0.210669,0.905419,0.857803,0.490735,1.15405,1.18606,1.65578,2.68216,3.37608,5.86793,
3,23.6461,5.0374,2.90902,1.63857,1.37274,0.926714,0.42783,0.312878,-0.319465,-0.163231,0.0687372,-0.135529,0.215867,-0.0343188,0.139321,0.286928,0.744839,0.799022,1.15036,1.20363,1.18873,1.63596,2.70263,5.33106,
4,23.2942,4.92738,2.93016,2.18937,1.51139,0.752571,0.96033,0.586116,0.538832,0.983011,1.20679,0.311992,0.133879,0.60957,0.473341,0.835163,0.960086,0.82415,0.647829,1.04357,0.916013,1.89597,2.48438,5.26999,
5,23.4124,5.27154,3.27284,2.26491,1.51162,1.60559,0.960699,0.883858,0.982798,0.513674,0.540541,0.723703,0.359422,0.137312,0.392089,0.249143,0.111167,0.5835,0.631266,0.760513,1.0514,1.67694,3.08775,5.51223,
6,22.2346,3.7809,1.6783,1.1054,0.302597,0.320663,0.307609,0.135653,0.228233,0.308547,-0.0299737,-0.20023,0.163104,0.131532,0.823992,1.00545,1.04232,0.663385,0.544105,0.428932,0.839448,0.845072,1.67804,3.7952,
7,23.3358,4.91677,2.44887,1.95521,1.28424,1.10068,0.61191,0.412942,0.301312,-0.021,0.0772671,0.0693983,0.635456,-0.121659,0.0021086,0.21135,0.529628,0.431201,0.32828,1.05262,0.808153,0.585905,1.77162,4.52377,
8,22.78,4.71175,2.01601,1.67739,0.547304,0.761968,0.706452,1.30368,0.720116,0.475924,0.629727,0.211059,0.312494,0.28016,1.37348,1.1884,1.20654,1.43575,0.62106,0.551528,0.777628,1.41698,2.24508,4.1846,
9,22.9149,3.94915,2.03487,1.03543,0.562972,0.384925,-0.410778,-0.438133,-0.720941,-0.254347,0.0949069,-0.115188,0.484822,0.379511,0.487162,0.297549,0.447206,0.442691,0.996305,0.771721,1.20626,1.38577,2.29574,4.25213,
