Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,25.4137,14.843,1.89289,1.53065,0.495492,0.482751,-0.208471,-0.219506,-1.3092,-1.96132,4.63137,8.29956,11.1073,9.47617,6.92106,3.10214,0.743501,0.55989,-2.30026,-5.52863,-3.82154,0.0512172,4.13861,9.10383,
1,4.19463,0.251262,0.249474,-0.245803,0.107651,1.05806,-0.044398,-0.027397,-0.053192,-0.246834,-0.252815,-0.544493,-1.29268,0.705279,-0.328709,-0.578409,-0.364905,-0.343456,0.335201,0.575371,0.752228,0.817375,0.12985,0.0207741,
2,3.70168,0.0996287,0.0834604,-0.0312713,-0.607848,-0.516259,-0.0579516,-0.0573851,-0.0392658,0.0907719,0.768168,0.231634,0.682436,0.787523,-0.104723,-0.372545,0.369758,0.215426,-0.208368,0.0689134,0.00707079,-0.115926,-0.310998,-0.0839042,
3,6.8003,1.93872,1.28344,0.457933,0.0160992,0.248457,-0.70884,1.24996,0.386547,1.62307,1.15195,1.16972,0.558009,-0.399545,-0.121668,0.264484,-0.261647,0.0832919,-0.0966008,0.393935,-0.0113608,-0.498805,-0.184645,-0.244353,
4,4.19531,0.386703,0.859175,0.308708,0.9459,0.499121,0.646256,1.20955,1.0875,0.520845,0.176715,-0.0115128,0.4651,0.2461,0.16228,-0.457845,-0.649215,-0.175178,-0.398457,-0.155689,-0.148792,0.20137,-0.354245,-0.120927,
5,20.0295,10.6857,-6.56903,-13.5437,-16.2656,-20.3436,-20.1164,-16.2717,-11.8812,-15.6119,-15.0356,-6.63368,-6.98302,1.26656,-5.91097,-6.76309,-10.1089,-16.1659,-15.5647,-10.3787,-6.1544,1.4191,12.3847,15.2111,
6,15.5129,5.60511,0.071748,-5.3225,-9.77924,-5.66974,-3.48448,2.29743,9.36329,0.419758,-3.13515,-7.35944,-11.259,-16.5663,-16.5512,-12.5324,-12.6001,-10.3766,-11.3842,-10.4683,-2.30344,-0.695992,3.84705,6.96543,
7,4.9712,-0.0569534,-0.265223,-0.631119,-0.685776,-1.53562,-1.19916,-0.0622179,1.02228,0.127004,-0.139801,1.03727,1.41164,-0.45783,-0.547629,-1.21018,-1.45618,-0.781941,-0.136027,0.156554,-0.404655,-1.55511,0.49009,1.20415,
8,18.6171,4.2508,0.262841,0.00539974,-0.676472,-1.74054,-9.33658,-8.41807,-7.09901,-6.30965,-4.90347,-6.54775,-9.51753,-8.35298,-10.0063,-5.72426,0.959495,7.19631,8.29523,8.56741,6.41028,8.18507,6.17114,10.4715,
9,15.1288,6.97904,4.52252,1.71478,-0.483761,-4.75024,-9.07012,-13.026,-16.4249,-16.7115,-11.3061,-9.02744,-8.46768,-8.27222,-3.48076,0.323447,1.25245,1.77845,6.33385,7.67371,9.44508,8.9194,10.1301,9.52567,
