Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,0,-0.419764,0.035985,0.0337348,-0.153075,0.155576,0.375765,-0.145977,-0.0660121,0.148643,-0.146985,0.19172,0.00569371,-0.261006,-0.217273,-0.101589,0.407029,-0.461008,0.369696,0.224333,0.17035,0.165688,0.195498,-0.0639901,-0.040839,-0.282523,-0.266013,-0.12889,-0.0159764,0.387783,-0.114011,-0.390595,-0.0230275,0.0176837,0.303592,0.162226,0.117694,-0.181834,0.360679,-0.532409,
1,0,-0.0852968,-0.0389035,0.148577,-0.195619,0.114048,-0.129442,-0.279325,-0.194235,-0.234118,0.0656243,0.392662,-0.2023,0.367142,-0.311192,-0.110496,-0.147563,-0.02375,-0.255184,0.248694,0.0716684,-0.243472,0.289923,0.295969,-0.12926,-0.00109382,-0.404384,-0.104522,-0.0330151,-0.0320267,-0.0716286,-0.199286,-0.166689,-0.292356,0.216496,-0.0616791,0.209823,-0.00628625,0.329563,0.0317202,
2,0,-0.409753,-0.199463,0.321757,0.175574,-0.387515,-0.307681,0.146683,0.192468,0.0864166,-0.177901,-0.189286,-0.154107,-0.0160618,-0.249075,-0.0830505,0.0586142,0.522232,-0.0388725,-0.178321,-0.0395926,0.0889154,0.750091,0.170725,0.0337719,-0.223805,-0.218161,0.484762,0.104078,0.00333868,0.518769,-0.0303039,0.594507,-0.120436,-0.20508,0.178927,-0.0306824,0.26537,0.0733475,-0.0821857,
3,0,-0.167556,0.131868,0.120779,-0.158141,-0.482098,0.318503,0.312754,0.441321,-0.478414,0.271766,-0.0411527,0.702247,0.0587375,-0.238564,0.315417,-0.0593474,-0.108938,0.299627,-0.247474,-0.0153364,-0.232639,0.0263661,-0.0204545,-0.00676488,0.360863,0.201408,-0.0465323,-0.113588,-0.0803835,0.136272,-0.0635639,0.282636,-0.134868,-0.76582,-0.122967,0.306578,0.0253648,-0.0656547,-0.0313122,
4,0,0.0880067,0.25602,-0.468273,-0.175038,-0.568078,-0.0446027,0.0966399,-0.300091,-0.176639,0.104284,-0.022562,-0.0479292,-0.0141469,0.236733,-0.150274,0.436901,-0.198567,-0.372959,0.311883,-0.249943,0.119296,-0.0769498,0.455014,0.1892,-0.118787,0.245608,0.066021,0.328536,-0.323561,-0.198483,-0.169893,-0.571931,-0.396615,-0.272557,-0.0892142,-0.318222,-0.0867908,-0.0998589,0.128783,
5,0,-0.0772914,-0.346434,-0.102231,-0.18952,0.262902,0.215787,-0.306448,-0.309914,0.109427,-0.0575146,-0.298009,0.0343517,0.169421,-0.0248608,-0.0535966,0.0527337,0.344392,0.409787,-0.0659815,0.505688,-0.0828571,-0.0995039,0.199831,0.163312,-0.204939,-0.179257,-0.0828575,-0.0931678,0.0189658,-0.119224,-0.0128659,0.0100341,0.384136,-0.298076,-0.579341,0.155387,0.147645,-0.354463,0.143318,
6,0,-0.251465,-0.153377,0.135029,0.0386254,0.465877,0.163808,0.109821,0.00117808,-0.0181386,0.215736,-0.0289815,-0.308838,-0.157965,0.122305,-0.291369,0.00421219,-0.0261472,-0.130934,-0.400782,-0.0919842,0.315539,0.167792,0.034941,-0.033586,-0.062861,0.140631,0.0913274,0.244305,-0.305504,-0.124413,0.117191,-0.217461,0.103507,0.142672,0.0696657,-0.0987845,-0.0900947,-0.254754,-0.141653,
7,0,-0.0286342,-0.0625523,0.0194589,0.142955,0.492765,0.0193404,0.0683786,-0.056655,-0.394285,-0.0280366,0.014052,0.240452,0.187028,-0.417001,-0.153647,0.0573347,-0.19208,0.169336,0.224894,-0.532825,0.127345,-0.154025,-0.016132,-0.142868,0.069286,0.0134898,-0.304108,-0.0139305,-0.126593,0.246403,0.338185,0.146523,-0.0734377,0.15277,-0.158442,0.131236,0.223775,0.123012,0.134324,
8,0,0.1038,-0.198354,-0.0990133,0.386633,0.545179,0.250637,0.460849,0.306992,-0.0783936,0.175133,0.0204356,0.0611533,0.0273567,0.291911,0.21048,-0.254678,0.499985,0.271255,-0.0113551,0.472185,-0.0349393,-0.600882,-0.180715,0.0510136,0.28795,0.200269,0.028969,-0.0976867,-0.407226,0.339,0.108587,0.105634,0.362203,0.068175,0.0537273,0.152563,0.337156,0.351436,-0.324225,
9,0,-0.612344,0.315328,0.246048,-0.518197,-0.0259456,-0.0240942,-0.0578456,0.017246,-0.0414441,-0.0711342,0.315265,0.141123,0.0319399,-0.442618,-0.356846,-0.188532,0.00942875,-0.132322,0.0791966,0.0772368,0.065361,0.10686,0.0449571,-0.0868479,0.283744,-0.285327,-0.178486,-0.104862,-0.252269,-0.238238,0.0953593,-0.0978858,0.0588445,0.0976434,0.223298,0.307624,-0.170683,-0.301786,0.0592302,
10,0,-0.485202,-0.0152378,0.00636297,0.0286395,0.0707773,0.0984589,-0.113978,-0.084063,-0.194855,0.328973,-0.124494,-0.127806,-0.200358,-0.107027,0.000865176,-0.0945312,0.0179746,0.259545,-0.0735672,0.0387788,-0.36719,0.141031,0.158542,0.0084105,-0.320595,0.381569,0.448283,0.159212,0.0939782,0.110996,0.265374,0.185113,0.108032,0.272392,-0.299413,-0.242909,-0.21197,-0.0255946,0.171103,
11,0,-0.133789,-0.162311,0.223566,0.109801,-0.0855822,-0.147908,0.343669,0.15279,-0.254873,-0.0828308,-0.16408,0.0684852,-0.31537,-0.0153854,0.211332,0.107397,-0.278345,0.159181,-0.00385928,-0.168779,-0.14955,0.233067,-0.0133834,-0.343557,0.367273,-0.210356,0.291201,0.118574,0.00790362,0.230162,0.183544,-0.181294,0.0252335,0.087938,0.360205,0.187845,0.109588,-0.20497,0.128591,
12,0,0.0550667,0.266689,0.0969194,-0.0549636,-0.24793,0.231359,-0.151592,0.00451103,-0.0853927,0.000418056,-0.265955,-0.246823,0.345775,0.277044,-0.192376,-0.037369,0.0293837,0.0891724,0.256109,0.36488,-0.011952,0.0654915,0.285069,0.510317,0.112994,-0.0123141,-0.226929,0.2815,-0.153416,-0.11149,0.0118178,0.500346,-0.190284,-0.285449,-0.26851,-0.173895,0.356781,-0.12093,0.393485,
13,0,0.113461,0.0835417,-0.18809,-0.499148,-0.502819,0.284927,0.335628,0.20923,0.166385,-0.147122,0.188594,-0.326932,-0.319853,0.185774,0.270105,0.322713,0.103987,-0.277867,-0.527296,-0.200667,-0.33315,0.325918,0.0155695,0.147804,-0.346215,0.429431,0.231358,-0.0442992,0.0884584,0.243874,-0.29846,0.0785128,0.0272741,0.204419,0.396496,0.123707,-0.179888,-0.12561,-0.404503,
14,0,-0.292581,0.300186,0.319519,0.0916815,0.187886,0.2312,0.512477,-0.136496,-0.337716,0.0414886,0.0744596,-0.00236471,0.369056,0.16792,-0.128527,-0.142083,-0.185517,-0.119862,0.113989,-0.267157,-0.348156,0.0530419,-0.162731,-0.0300362,0.0782079,-0.339336,-0.154948,0.0344684,0.0513909,0.198074,-0.133757,0.00757239,0.192459,-0.11942,-0.201118,0.0183841,-0.230182,0.217794,-0.0428785,
15,0,-0.219172,-0.203597,0.185295,-0.13866,0.40741,0.0893775,-0.14168,0.19453,0.215343,-0.399424,-0.161158,0.214785,0.233145,0.142484,-0.208977,-0.490844,0.0974376,-0.258723,-0.189332,-0.342605,-0.203426,0.10223,0.20526,0.128435,-0.345066,-0.345844,-0.414324,-0.0302812,-0.0514541,-0.00764598,0.112502,0.0291161,0.236492,0.0567442,-0.496449,-0.0887473,-0.0376954,0.197423,0.282539,
16,0,0.111309,-0.592174,-0.165418,-0.0956011,0.292005,-0.121086,0.138242,0.166335,-0.144294,-0.0717444,0.00787462,-0.320327,0.456568,-0.258462,-0.0349778,-0.111598,-0.173842,-0.102657,0.0652665,-0.024145,0.295048,-0.0543164,0.0769713,-0.144992,0.00191322,-0.0675572,-0.0861072,0.365681,-0.332507,0.14882,0.17123,-0.0967756,0.00358306,-0.0453354,-0.43909,-0.117166,-0.168168,0.0899314,0.232004,
17,0,0.375149,0.263425,0.149037,-0.173506,-0.258271,0.0525619,0.0253959,0.0945094,0.263646,0.57027,0.309568,-0.177431,-0.316291,0.0618047,-0.289913,-0.0713101,0.17068,0.51601,0.0399476,-0.251499,-0.278237,-0.0553022,-0.193668,0.060564,0.113348,0.182658,-0.0954569,-0.300989,0.111272,-0.0238088,0.260799,-0.25728,-0.124333,-0.229377,-0.601089,-0.198047,-0.202733,-0.151036,-0.0726618,
18,0,-0.0224147,-0.00391756,-0.239711,0.235458,0.156463,0.0431496,0.349397,0.376446,-0.580555,0.582669,-0.205106,0.0492361,0.0114728,0.307776,-0.0244788,0.0141866,-0.082908,-0.102779,0.0620838,-0.00152827,0.0808636,-0.337858,-0.237951,-0.300695,0.189596,-0.16452,-0.156041,-0.375473,0.0999838,-0.454076,-0.568791,0.0909116,0.109881,-0.280421,0.0285899,-0.0909305,0.0783039,-0.0697941,-0.254523,
