Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,0,0.474001,-0.490227,0.0504273,0.0341224,0.300793,0.13633,-0.0607743,-0.327632,-0.360844,0.316286,-0.251643,0.0575028,0.288981,-0.187761,-0.0753023,0.104896,-0.408395,0.0992701,-0.30495,-0.0952466,0.262684,-0.0895503,-0.0316238,-0.157256,-0.371885,0.110703,0.28293,0.298014,0.303508,0.0429637,-0.181062,0.0546279,0.280362,0.024498,0.209969,0.0552527,0.420606,-0.214675,-0.0847221,
1,0,-0.468597,-0.00897023,0.131698,0.0259958,0.160692,0.0258799,0.203257,0.454666,0.167503,0.0255752,-0.00748581,-0.11726,-0.0239052,-0.133985,-0.213658,-0.145479,0.0684255,0.112631,0.0822119,0.135398,0.138187,-0.00995722,0.183565,-0.280215,0.262813,0.0889049,-0.240306,-0.196505,0.157143,0.0710494,0.180734,0.581056,0.24932,0.0502854,-0.151024,-0.572817,-0.314889,0.0410839,-0.0761498,
2,0,0.397764,-0.10741,-0.217475,-0.165821,0.1349,0.190349,-0.190574,-0.311222,0.222316,-0.15812,0.260225,-0.120001,0.117518,0.240792,0.209886,0.121238,0.149155,-0.522785,-0.0902388,-0.240064,-0.0635816,0.00786562,-0.397312,0.19982,-0.679211,-0.0946317,-0.297418,-0.243249,0.110525,0.311253,-0.342442,0.319946,0.114113,0.0376666,0.00635706,-0.0650393,-0.0546627,0.162579,0.45473,
3,0,-0.36978,0.142299,0.313642,-0.434384,-0.317046,-0.350568,-0.554445,0.0340937,-0.224703,-0.00536459,0.0672218,-0.00108688,-0.117466,0.51224,-0.406871,0.124079,0.254282,-0.253197,-0.199551,-0.0650645,0.0194888,-0.0180871,0.223378,0.164312,0.135391,-0.151287,0.131494,-0.344185,0.0658086,-0.196443,0.0759002,-0.142414,0.297713,0.558026,0.232302,-0.0956525,0.121143,-0.197324,0.130914,
4,0,0.140724,0.0199136,-0.143844,0.0829302,0.44802,0.439937,-0.0100146,0.0607329,-0.0915467,0.0816044,0.0369122,-0.294535,-0.26097,-0.209847,0.258466,-0.193246,-0.150036,-0.157561,0.103293,-0.338011,-0.127204,-0.0672745,-0.0671372,0.133591,0.143975,-0.0432403,0.316653,-0.0327427,-0.141419,0.241063,0.0859026,0.469645,-0.344206,0.0843432,0.145085,0.0801529,-0.211052,-0.00823524,0.405432,
5,0,0.0924607,0.0962284,-0.188263,0.100828,0.15581,0.033973,-0.163057,0.0311654,-0.406074,-0.0184785,0.365273,0.369799,0.141711,0.139948,-0.0531236,0.311739,-0.0587123,0.316774,0.0186947,0.131707,0.0783526,0.0164533,0.0919118,-0.0154295,0.344086,-0.115875,-0.40541,0.0964769,0.161389,0.00827404,-0.0988102,0.0318286,0.307193,0.00340482,0.165696,-0.127251,0.302863,0.245724,-0.00164563,
6,0,0.0710756,0.0765547,-0.128289,0.154803,-0.0750415,-0.0740164,-0.00219949,0.312318,-0.0854752,-0.16309,-0.279979,-0.348262,-0.417487,-0.0635273,-0.0335958,0.0935383,0.0857241,0.335616,-0.266525,0.0245468,-0.126019,0.0492207,0.302239,-0.160246,-0.167456,0.0534916,0.0163791,-0.143857,0.347143,0.36593,0.291332,0.120782,-0.189828,-0.0306481,-0.118114,-0.0466119,0.227622,0.0434329,-0.226617,
7,0,-0.0281719,0.204136,-0.463085,0.0865017,-0.470053,-0.0327942,0.315031,0.0308396,0.152416,0.314545,0.0487377,0.00820349,-0.164809,0.275769,-0.131602,-0.126168,-0.0911562,-0.23556,-0.0312362,0.0408105,0.0912187,-0.166229,-0.0829291,-0.144796,-0.0836682,-0.118445,0.00815486,0.0851079,0.242808,0.143766,-0.0079574,-0.391644,-0.14063,-0.0683558,0.0784253,0.138884,-0.0525535,-0.0613462,-0.0599605,
8,0,-0.312405,0.147927,0.242497,-0.174837,0.262143,0.226309,0.213777,-0.310238,-0.0603364,0.179205,0.0833294,-0.328111,0.207779,0.350869,-0.0525544,0.0021495,0.126079,0.20803,-0.0586675,0.226071,-0.0237669,-0.0595998,-0.808881,-0.0631733,-0.219172,-0.102434,0.0241082,-0.159815,0.0442508,-0.128594,-0.0845035,-0.250979,-0.378851,0.204479,-0.0410238,0.0245394,0.137998,-0.099525,-0.148846,
9,0,-0.488791,0.0414483,0.102665,0.103164,-0.103293,0.0210192,-0.503286,0.0597314,-0.693697,-0.496928,-0.0836347,-0.190688,0.142087,-0.00563009,0.0451009,-0.187908,-0.366498,0.0483199,0.133041,-0.239299,-0.220759,0.0917787,0.0580256,-0.385721,0.109939,0.15501,-0.0592875,-0.255043,0.170219,-0.277504,-0.259656,-0.105655,-0.0613388,-0.00420372,0.107884,0.0725475,-0.211106,0.307622,-0.27824,
