Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,29.5673,1.22073,0.299199,0.0460895,0.040117,0.0385647,0.00504449,-0.0470919,0.0180131,-0.0111581,-0.0127677,-0.00752277,-0.031354,0.0167881,-0.0523158,-0.0299274,-0.0240755,-0.0498396,-0.0877515,-0.0384582,-0.0627214,-0.0384582,-0.0877515,-0.0498396,-0.0240755,-0.0299274,-0.0523158,0.0167881,-0.031354,-0.00752277,-0.0127677,-0.0111581,0.0180131,-0.0470919,0.00504449,0.0385647,0.040117,0.0460895,0.299199,1.22073,
1,29.5758,1.32135,0.315271,0.131164,0.0393576,0.0908752,-0.0215585,-0.0466879,0.0223416,-0.0272636,0.00072207,0.0365,-0.00648508,0.027795,-0.00357933,-0.0663873,-0.0321623,0.0253016,-0.0643364,-0.0773775,-0.145445,-0.0773775,-0.0643364,0.0253016,-0.0321623,-0.0663873,-0.00357933,0.027795,-0.00648508,0.0365,0.00072207,-0.0272636,0.0223416,-0.0466879,-0.0215585,0.0908752,0.0393576,0.131164,0.315271,1.32135,
2,29.5827,1.34238,0.444479,0.201926,0.133539,0.0609049,0.00329988,0.0545735,-0.051668,0.00829937,-0.0387779,0.000819911,-0.0261526,0.00909959,-0.0774694,-0.0322939,-0.054088,0.035825,0.0502081,-0.0139778,0.0696372,-0.0139778,0.0502081,0.035825,-0.054088,-0.0322939,-0.0774694,0.00909959,-0.0261526,0.000819911,-0.0387779,0.00829937,-0.051668,0.0545735,0.00329988,0.0609049,0.133539,0.201926,0.444479,1.34238,
3,29.5264,1.26421,0.26599,0.0932502,0.0616756,0.0579775,0.0119827,-0.0164601,0.0204674,-0.00128276,-0.00448466,0.0535723,0.0830369,-0.042267,-0.022649,-0.0527174,-0.0800869,0.0060235,-0.00700301,0.020057,0.0571086,0.020057,-0.00700301,0.0060235,-0.0800869,-0.0527174,-0.022649,-0.042267,0.0830369,0.0535723,-0.00448466,-0.00128276,0.0204674,-0.0164601,0.0119827,0.0579775,0.0616756,0.0932502,0.26599,1.26421,
4,29.5628,1.253,0.402658,0.172677,0.0271709,0.0344352,0.04546,-0.071865,0.0147611,-0.0396171,0.0902051,0.0142155,-0.0381381,-0.0331444,0.0126598,0.0250436,0.044625,0.0825951,-0.0361411,0.0203919,-0.0179338,0.0203919,-0.0361411,0.0825951,0.044625,0.0250436,0.0126598,-0.0331444,-0.0381381,0.0142155,0.0902051,-0.0396171,0.0147611,-0.071865,0.04546,0.0344352,0.0271709,0.172677,0.402658,1.253,
5,29.5933,1.29763,0.338003,0.13994,0.0212704,-0.0480055,-0.0330981,-0.0585707,-0.0315866,0.00887981,-0.0383139,0.0593254,0.00730955,0.000604083,0.0162472,0.0228177,-0.0218239,-0.0369266,0.0145674,0.00390709,0.00333363,0.00390709,0.0145674,-0.0369266,-0.0218239,0.0228177,0.0162472,0.000604083,0.00730955,0.0593254,-0.0383139,0.00887981,-0.0315866,-0.0585707,-0.0330981,-0.0480055,0.0212704,0.13994,0.338003,1.29763,
6,29.7052,1.3012,0.330526,0.0851704,0.0690884,0.00733299,0.00536474,0.0397332,0.0297,0.0192976,0.0397055,0.100876,0.00942492,-0.0129955,0.00528591,0.0548324,0.0496627,-0.0184542,-0.0157728,-0.047927,0.0226728,-0.047927,-0.0157728,-0.0184542,0.0496627,0.0548324,0.00528591,-0.0129955,0.00942492,0.100876,0.0397055,0.0192976,0.0297,0.0397332,0.00536474,0.00733299,0.0690884,0.0851704,0.330526,1.3012,
7,29.5235,1.26569,0.332917,0.186677,0.0944787,0.0236611,0.0616082,-0.0294578,0.00969107,0.0296876,0.0159554,0.00797854,0.052649,6.76499e-05,-0.0118956,0.0211594,0.0523264,-0.0442289,0.00275407,0.0135985,0.0956349,0.0135985,0.00275407,-0.0442289,0.0523264,0.0211594,-0.0118956,6.76499e-05,0.052649,0.00797854,0.0159554,0.0296876,0.00969107,-0.0294578,0.0616082,0.0236611,0.0944787,0.186677,0.332917,1.26569,
8,29.5581,1.20229,0.28824,0.139955,0.0670042,-0.0475646,0.0358012,-0.00785755,0.0827926,-0.029375,0.0300785,-0.00800322,-0.00909977,-0.00345311,-0.0181697,-0.0386261,-0.077519,-0.0255048,-6.21515e-05,0.0346022,0.0103572,0.0346022,-6.21515e-05,-0.0255048,-0.077519,-0.0386261,-0.0181697,-0.00345311,-0.00909977,-0.00800322,0.0300785,-0.029375,0.0827926,-0.00785755,0.0358012,-0.0475646,0.0670042,0.139955,0.28824,1.20229,
9,29.5112,1.29262,0.403153,0.11025,0.0553887,0.0386959,-0.0288168,0.0681119,0.053545,-0.00728229,-0.0224161,-0.0554771,0.00906777,0.00631718,-0.0110724,0.0218242,-0.000801884,-0.0739288,-0.00875925,-0.00090548,0.0372974,-0.00090548,-0.00875925,-0.0739288,-0.000801884,0.0218242,-0.0110724,0.00631718,0.00906777,-0.0554771,-0.0224161,-0.00728229,0.053545,0.0681119,-0.0288168,0.0386959,0.0553887,0.11025,0.403153,1.29262,
