Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,58.3629,2.40186,-1.13224,-1.60205,-1.60716,-1.77553,-1.83597,-1.94434,-1.5573,-1.68983,-1.70034,-2.03232,-1.77295,-1.71243,-1.72624,-1.83293,-1.68318,-1.72881,-1.73544,-1.72024,-1.58809,-1.72024,-1.73544,-1.72881,-1.68318,-1.83293,-1.72624,-1.71243,-1.77295,-2.03232,-1.70034,-1.68983,-1.5573,-1.94434,-1.83597,-1.77553,-1.60716,-1.60205,-1.13224,2.40186,
1,57.8207,2.32432,-0.985776,-1.55722,-1.92817,-1.75036,-1.87434,-1.6404,-1.61785,-1.67405,-1.75824,-1.75876,-1.65838,-1.78865,-1.69172,-1.79865,-1.87063,-1.67702,-1.72142,-1.5313,-1.90347,-1.5313,-1.72142,-1.67702,-1.87063,-1.79865,-1.69172,-1.78865,-1.65838,-1.75876,-1.75824,-1.67405,-1.61785,-1.6404,-1.87434,-1.75036,-1.92817,-1.55722,-0.985776,2.32432,
2,58.2341,2.2514,-1.10813,-1.35894,-1.6645,-1.80863,-1.87972,-1.80407,-1.71074,-1.76495,-1.82395,-1.83885,-1.72721,-1.9401,-1.586,-1.66506,-1.46591,-1.84243,-1.62024,-1.91189,-1.69425,-1.91189,-1.62024,-1.84243,-1.46591,-1.66506,-1.586,-1.9401,-1.72721,-1.83885,-1.82395,-1.76495,-1.71074,-1.80407,-1.87972,-1.80863,-1.6645,-1.35894,-1.10813,2.2514,
3,58.2398,2.63347,-0.996912,-1.44372,-1.80782,-1.52555,-1.81301,-1.87359,-1.63934,-1.82358,-2.05618,-1.85899,-1.72091,-1.76799,-1.80082,-1.65511,-1.80738,-1.74341,-2.05344,-1.52052,-1.69018,-1.52052,-2.05344,-1.74341,-1.80738,-1.65511,-1.80082,-1.76799,-1.72091,-1.85899,-2.05618,-1.82358,-1.63934,-1.87359,-1.81301,-1.52555,-1.80782,-1.44372,-0.996912,2.63347,
4,58.447,2.37876,-1.08225,-1.57392,-1.55008,-1.77109,-1.86582,-2.09233,-1.93998,-1.88145,-1.53009,-1.59706,-1.44927,-1.62799,-1.91193,-1.66165,-1.83043,-1.6761,-1.84944,-1.73468,-1.95333,-1.73468,-1.84944,-1.6761,-1.83043,-1.66165,-1.91193,-1.62799,-1.44927,-1.59706,-1.53009,-1.88145,-1.93998,-2.09233,-1.86582,-1.77109,-1.55008,-1.57392,-1.08225,2.37876,
5,58.5303,2.47049,-1.13719,-1.46957,-1.65207,-1.64186,-1.59448,-1.73069,-1.80282,-1.6445,-1.78851,-1.78082,-1.92224,-1.81244,-1.84779,-1.79175,-1.85032,-1.63719,-1.84416,-1.78088,-2.01269,-1.78088,-1.84416,-1.63719,-1.85032,-1.79175,-1.84779,-1.81244,-1.92224,-1.78082,-1.78851,-1.6445,-1.80282,-1.73069,-1.59448,-1.64186,-1.65207,-1.46957,-1.13719,2.47049,
6,58.137,2.23368,-1.09555,-1.66596,-1.64544,-1.76514,-1.87211,-1.55413,-1.37471,-1.68885,-1.60712,-1.90366,-1.98723,-1.64085,-1.78633,-1.92186,-1.75008,-1.64651,-1.68451,-1.81357,-1.79708,-1.81357,-1.68451,-1.64651,-1.75008,-1.92186,-1.78633,-1.64085,-1.98723,-1.90366,-1.60712,-1.68885,-1.37471,-1.55413,-1.87211,-1.76514,-1.64544,-1.66596,-1.09555,2.23368,
7,58.4183,2.35384,-1.24365,-1.72274,-1.59761,-1.53111,-1.74501,-1.95154,-1.62156,-1.42862,-1.68117,-1.6593,-1.75475,-1.89163,-1.68597,-1.73918,-1.69972,-1.72292,-1.8795,-1.96908,-2.0759,-1.96908,-1.8795,-1.72292,-1.69972,-1.73918,-1.68597,-1.89163,-1.75475,-1.6593,-1.68117,-1.42862,-1.62156,-1.95154,-1.74501,-1.53111,-1.59761,-1.72274,-1.24365,2.35384,
8,58.1756,2.37746,-1.07167,-1.44737,-1.71399,-1.69378,-1.75171,-1.56382,-1.50409,-1.67827,-1.68245,-1.66317,-1.60453,-1.72704,-1.94484,-1.98413,-1.79741,-1.79805,-1.81234,-1.9519,-2.14937,-1.9519,-1.81234,-1.79805,-1.79741,-1.98413,-1.94484,-1.72704,-1.60453,-1.66317,-1.68245,-1.67827,-1.50409,-1.56382,-1.75171,-1.69378,-1.71399,-1.44737,-1.07167,2.37746,
9,58.5642,2.30085,-1.05222,-1.61885,-1.49803,-1.77412,-1.85853,-1.8472,-1.84297,-1.81746,-1.61199,-1.71289,-1.84666,-1.77185,-2.02913,-1.59118,-1.7334,-1.60884,-1.67873,-1.78473,-1.80832,-1.78473,-1.67873,-1.60884,-1.7334,-1.59118,-2.02913,-1.77185,-1.84666,-1.71289,-1.61199,-1.81746,-1.84297,-1.8472,-1.85853,-1.77412,-1.49803,-1.61885,-1.05222,2.30085,
