Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
13,57.7591,2.57744,-1.05511,-0.80779,-1.62233,0.148895,-1.04912,-2.2711,-1.4282,-1.05038,-0.215654,-1.8333,-0.682031,-0.136099,-0.331908,-0.345845,-2.15949,-0.691332,-0.521834,-0.861603,-1.39713,-0.909852,-1.90645,-1.63215,-0.482103,-1.24319,-2.21158,-0.331641,-0.891524,-1.35424,0.239075,-0.13041,-0.708824,-1.81268,-1.59211,-1.09782,-1.83806,0.204861,0.949253,3.65537,
14,57.4178,2.10892,-0.551682,-1.80827,-1.76562,-1.20297,-1.49663,0.772903,0.0443307,-1.4207,-1.17976,0.203569,0.35118,-1.12874,-0.895872,-2.25664,0.182134,-1.9997,-0.153969,-0.388745,-1.06124,-1.53804,-1.08122,0.311827,-0.226466,-0.737536,-0.656953,0.624632,0.468706,-1.93787,-0.941445,-1.29847,-2.96204,-0.870499,-0.34033,-1.51369,-1.13301,0.0267702,-0.835584,2.48491,
15,57.9343,3.19056,-1.93769,-1.56852,-1.95029,-0.814216,-0.25679,-2.82783,-0.736931,1.24892,1.14491,-0.590082,0.0558087,-2.3744,-0.0977209,-1.81593,-1.49407,-0.853512,-0.441989,-1.76372,-0.0574848,0.145818,0.447032,-0.576558,-0.633996,-0.213381,-0.582416,-0.80401,-1.53967,-1.29744,-1.48562,-0.400391,0.569316,-0.364157,-1.29787,-0.566642,-0.25389,-0.769068,-1.20696,1.31293,
16,59.7985,3.57586,-0.334486,0.380084,-0.659359,-1.05554,-1.93251,-2.62785,-1.80004,-0.690506,-1.17316,-0.584433,-0.439957,-1.46213,-1.55501,0.0694312,-0.67863,-1.01291,0.209755,0.946648,-1.92441,-0.598394,-1.08683,0.519448,0.495302,-0.809001,-1.99117,-1.9458,-1.09649,-0.911161,-0.718177,-1.60355,-1.22019,-1.7503,0.497789,-1.138,-0.550378,-2.34994,-0.0191023,3.83967,
17,57.6379,3.57076,-0.873974,-1.78464,-0.792523,-0.275522,-0.187044,-1.80931,-2.45656,-0.511245,-0.253475,-0.352545,-0.0178938,-1.01016,-0.245175,-0.512784,-0.782256,-0.476016,0.17554,0.0376655,-0.654233,-1.81967,-0.608579,-0.487195,-2.04582,-2.15182,-2.13394,-1.04298,-0.457756,-0.475085,0.341038,-0.385535,-0.965529,-1.23358,-0.405072,0.395291,0.394153,-1.49957,0.972598,3.64998,
18,58.3256,2.85555,-1.0177,-0.380904,0.155328,-1.50835,0.568982,-1.79484,-0.503966,-1.42752,-1.46455,-0.806074,-1.53847,-2.30142,-0.704036,-1.07682,-1.12793,-1.53257,-1.82092,-1.33145,-0.592712,-1.12152,-2.2603,0.456444,-0.671115,-0.372794,-1.53788,-1.85359,0.792973,-0.0894276,0.29186,-0.501308,-0.664588,-0.399495,-0.960538,-1.82676,0.469776,0.135475,-0.395526,3.68788,
19,59.1754,3.66102,1.40138,-0.411288,-1.10341,0.311767,-0.721351,-0.875356,-2.24413,-0.49277,-0.669062,-0.976482,0.741541,0.599625,-0.525352,-2.18373,0.079247,-1.28364,-0.0531016,0.392257,-1.58214,0.43396,-1.70249,-0.540771,-1.96482,-2.65796,-1.64257,-0.929189,-1.62168,-0.00571141,-2.10854,-2.11479,-1.67757,-0.365567,-1.47775,1.23299,-0.980624,-1.16835,-0.405138,2.40671,
20,59.5459,4.48995,0.690077,-1.78433,-1.29333,-1.72781,-1.15921,-0.120922,-2.07196,0.218444,1.36934,1.71949,-1.0239,0.403659,-0.662016,-1.43383,-1.00852,0.124327,-1.07784,-1.8149,-2.17324,-2.25674,-0.817078,-1.51304,-0.875062,-0.801495,0.062011,-1.89311,-0.490895,-2.90111,-1.56606,-3.35643,-4.28548,-1.32438,-0.0161713,-0.0662923,-0.695183,-0.0607269,0.0650937,3.67528,
21,58.2601,4.75872,1.86166,-0.447609,-1.06755,-0.769182,-1.47857,-0.308599,0.232888,-0.0519024,-1.44266,-0.790863,-1.58223,-0.0158973,-1.08568,-1.51775,-1.48657,-0.102227,-0.654167,-1.40453,-1.2208,-0.0801217,-0.172697,-0.994235,-1.67596,-2.4602,-1.2534,-1.93946,-0.418214,-0.243159,-1.68112,-0.574694,0.0951197,-1.48348,-1.32862,-1.24236,0.204221,-1.4548,-1.21902,2.68434,
22,58.45,3.49511,-0.820217,-0.532858,-0.421804,-1.5007,-2.1264,-1.84795,-0.968558,-0.292455,-1.58572,-0.430378,-1.14664,-1.49788,-2.37349,0.247597,0.403046,-0.854156,0.295269,0.191154,-0.900374,-0.917082,0.602288,0.464874,-1.89313,0.0529973,-1.06524,-1.38125,-1.97363,-1.0277,-0.671558,-1.00098,-0.305008,-0.351064,-2.11134,-1.95647,-1.69752,-0.518323,-0.221492,3.68482,
23,60.3321,3.7727,0.396004,-1.37896,0.59647,-1.15513,-2.57499,-1.42485,-1.57106,-1.44394,-0.543128,-1.00615,-0.737253,-2.67279,-0.824336,-1.13513,1.33408,-1.2003,-1.0308,-0.504606,-1.56254,-1.96554,-1.59206,-1.22769,-1.28955,-0.605909,-1.79058,-0.417173,-0.484686,0.184176,-2.86128,-0.99578,-0.815153,-0.991998,-0.407337,-2.47463,-1.00666,-0.346171,-0.366102,4.25309,
24,57.268,4.18358,-0.2494,-1.47666,-1.32694,-1.20323,-1.24209,-0.625175,-2.39771,-1.91729,0.131422,-0.818445,-1.26566,-0.507345,-0.663524,-1.03811,-0.988159,-2.24501,-1.81058,-1.05594,-0.869637,-0.853099,-1.18403,-0.324122,-2.73424,-0.940751,-0.86295,-0.661575,-0.649179,-1.24194,-1.47255,-0.0301291,-0.0205514,-1.64488,-0.393994,-0.848947,-0.0757522,-0.793335,-0.167075,3.61272,
