Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
11,29.7958,1.3061,0.175822,0.471973,0.100342,0.393685,-0.100631,-0.18226,0.0104631,0.0633538,-0.425252,0.0170865,0.147015,-0.0361436,-0.385912,0.11809,0.541747,0.358378,-0.0162638,0.268937,0.0955404,0.1679,-0.109801,0.241368,0.147799,-0.432798,0.150461,0.276182,0.467115,0.129354,0.0506394,-0.407652,-0.339561,0.504847,0.331149,-0.116974,-0.161497,0.319163,0.352122,1.24143,
12,29.8775,1.49792,0.381885,0.0210597,-0.259269,0.19066,-0.610643,-0.187154,0.332933,0.0588813,0.180993,0.588486,-0.198658,0.1873,0.0966935,-0.0919376,-0.0695138,0.419185,0.0894324,0.245729,-0.175369,-0.0580304,-0.160003,0.116899,-0.327294,-0.26306,-0.269604,0.488409,0.455808,0.121569,-0.432035,0.0132374,-0.468736,0.432135,0.114791,0.304483,0.103505,-0.00811904,0.708458,1.55871,
13,29.7526,1.57096,0.756363,0.363967,0.0120811,-0.0973973,0.0384524,0.252283,-0.281783,0.0831029,-0.28653,-0.106853,0.03255,-0.0937969,-0.0875564,0.0127401,-0.0590776,0.123486,0.329761,-0.56778,-0.0183382,0.0916098,0.00725274,0.112853,-0.52384,-0.180433,0.234619,0.214349,0.478085,0.197873,0.548589,-0.328927,-0.131567,0.163316,0.0220167,0.0533107,-0.197545,0.290725,0.486395,1.64281,
14,30.0385,1.56602,1.06357,0.803851,0.072434,0.415365,0.227968,-0.00554074,0.0451035,0.0829347,-0.392032,0.12438,0.215016,-0.115103,0.665177,0.0855945,-0.261624,-0.390698,0.0451559,-0.137281,0.280028,-0.408786,-0.131757,0.286885,0.548114,-0.028444,0.0791702,-0.558755,-0.0450786,0.298731,-0.224222,0.00153538,-0.0645123,-0.183699,0.12491,0.540068,-0.0596163,-0.00164701,0.511753,1.58537,
15,29.8603,1.31535,0.174683,-0.0927706,0.145523,0.167237,-0.159683,0.262024,-0.00822077,0.404248,-0.0175913,-0.0621075,0.276285,0.383954,-0.134327,0.124686,0.362005,-0.302548,-0.276926,-0.0110725,0.881561,0.815234,0.105692,-0.625905,0.175072,0.0650494,0.309673,0.382426,-0.0389221,-0.249245,-0.215547,0.0991539,-0.035205,0.313061,-0.155947,0.000986561,0.16877,0.465632,0.362634,1.62173,
16,30.0716,1.80629,0.370826,0.702063,-0.116546,-0.484528,0.00316498,-0.185601,-0.215894,-0.206731,0.0891351,-0.315645,0.0291889,0.14801,0.435377,0.101665,0.0927716,0.0596359,0.0969927,0.243295,0.259725,-0.178117,0.200748,0.385765,0.0724515,-0.133196,-0.556906,-0.0615987,0.291387,-0.462889,0.0486259,0.0159763,-0.0273927,-0.228025,0.351085,-0.328552,-0.222917,-0.220173,0.339632,1.48466,
17,29.544,1.4727,0.399681,0.408148,0.0281629,-0.257817,-0.535524,-0.183016,0.0900737,0.125937,0.542973,0.0259115,-0.0388265,0.113756,0.148085,-0.258683,-0.216452,-0.50454,-0.460497,-0.118993,-0.016625,-0.424,-0.121386,-0.226145,-0.294023,-0.121478,0.00457763,-0.243465,-0.376654,0.503678,0.329763,0.115945,0.046351,-0.192797,0.131514,-0.459038,0.0378224,0.461472,0.577574,1.89485,
18,29.7818,1.17969,0.0772819,0.121926,0.104318,0.0353192,0.156955,0.216508,0.277441,0.158404,0.0685196,0.33828,0.047336,0.206683,-0.0919437,-0.394706,-0.0641679,0.0665724,-0.145365,-0.364542,0.146781,0.321418,-0.0898831,-0.313095,0.110631,0.0209204,-0.29053,0.0987064,-0.294288,-0.259145,0.067721,-0.464164,-0.387787,0.0803304,0.375175,0.331088,0.0176813,0.0887968,0.250258,0.80429,
19,30.266,1.1818,-0.187642,0.189944,-0.326402,-0.168502,0.686367,0.345335,0.0777057,0.128715,-0.193818,-0.165916,-0.183571,0.0908274,-0.424122,-0.185015,-0.118817,0.101455,0.289396,-0.275222,-0.129768,0.203514,0.276664,-0.275406,0.186363,-0.36226,0.270274,-0.0939948,0.373716,-0.224225,0.104587,-0.0989025,-0.256452,-0.133618,-0.32352,-0.122683,-0.174256,-0.267847,0.0528024,1.27701,
20,29.5713,1.36905,0.528824,0.574159,0.0358201,-0.215377,0.38848,-0.213426,-0.0560581,-0.417122,-0.107213,0.0100252,-0.586979,0.0448241,-0.18168,0.158675,0.289799,0.0254856,0.362717,0.0934273,-0.122204,0.279363,-0.200427,-0.0228387,0.0982064,-0.0713658,0.212791,-0.0172309,0.141667,-0.357351,0.184596,0.0249874,-0.305644,0.0858219,0.230376,0.335555,0.191814,0.273325,0.26037,1.33912,
21,29.8935,1.11084,0.45978,0.264451,0.203685,0.488218,0.0208039,-0.0446494,0.0346042,-0.291691,-0.118296,0.0102221,-0.043788,0.343479,0.061921,0.272836,-0.070188,-0.198148,-0.143712,-0.13679,0.104598,0.244407,0.795685,0.104277,0.412131,0.202635,-0.124906,-0.25854,-0.248643,0.104151,0.13541,0.0855121,0.33627,-0.109703,0.187269,0.451595,-0.243794,0.176047,0.558045,1.79719,
22,30.2743,1.35783,0.697733,0.280557,0.622011,-0.288604,0.200341,-0.149343,0.0311519,-0.115114,-0.0794656,-0.013977,-0.365053,-0.0995768,0.283513,0.135047,-0.213562,0.280942,0.214394,-0.263947,-0.219278,-0.0920871,0.00139206,0.041889,0.26309,-0.0615557,0.229814,-0.521051,0.392639,0.119078,-0.0548867,0.196426,0.0727071,-0.0649222,0.294214,-0.113936,0.012443,0.0580232,0.286774,1.41521,
23,29.4945,1.26942,0.47987,-0.174556,0.274389,-0.0885994,-0.171921,0.225845,0.135322,-0.373956,-0.545307,-0.233841,0.0837623,-0.399064,-0.172492,0.0485936,-0.203691,-0.10867,-0.227113,-0.120387,0.0910344,0.366256,-0.354883,0.0543463,0.266804,0.116624,-0.192474,0.366807,0.471552,0.0614319,-0.178067,0.0102765,0.268824,-0.0525221,0.103104,-0.0123129,-0.285082,0.506522,0.0315286,1.80038,
24,29.5958,1.21653,0.598976,0.365486,0.38121,0.161477,-0.354548,-0.0695461,-0.176202,-0.439103,-0.339263,0.0249868,-0.38073,0.123079,0.390221,0.0561323,0.506736,0.0545219,-0.046502,0.252869,-0.260415,0.00140337,0.368485,0.107109,-0.121172,-0.102727,0.0401841,0.122864,-0.061468,-0.157934,-0.089642,0.111188,-0.406019,0.0501989,-0.00352199,-0.182273,-0.149379,0.210617,0.472901,1.25008,
